timestamp,cpu_percent,ram_percent,gpu_avg_util_percent,gpu_avg_mem_percent,disk_read_MBps,disk_write_MBps,disk_total_MBps,net_sent_MBps,net_recv_MBps,net_total_MBps
2025-07-31 20:40:32,15.9,5.9,0.0,0.85,0.0,1.65,1.65,0.06,0.05,0.11
2025-07-31 20:40:33,14.2,5.9,0.0,0.85,0.0,0.84,0.84,0.03,0.04,0.07
2025-07-31 20:40:34,14.8,5.9,0.0,0.85,0.0,5.11,5.11,0.03,0.03,0.06
2025-07-31 20:40:35,14.2,5.9,0.0,0.85,0.0,0.88,0.88,0.03,0.03,0.05
2025-07-31 20:40:36,13.7,5.9,0.0,0.85,0.0,1.72,1.72,0.04,0.04,0.08
2025-07-31 20:40:37,15.2,5.9,0.0,0.85,0.0,9.48,9.48,0.05,0.05,0.1
2025-07-31 20:40:38,14.6,5.9,0.0,0.85,0.0,0.28,0.28,0.04,0.04,0.08
2025-07-31 20:40:39,14.2,5.9,0.0,0.85,0.0,2.63,2.63,0.03,0.03,0.05
2025-07-31 20:40:40,15.1,5.9,0.0,0.85,0.0,0.67,0.67,0.04,0.04,0.09
2025-07-31 20:40:41,14.5,5.9,0.0,0.85,0.0,4.98,4.98,0.05,0.05,0.11
2025-07-31 20:40:42,14.5,5.9,0.0,0.85,0.0,12.47,12.47,0.06,0.06,0.12
2025-07-31 20:40:43,13.4,5.9,0.0,0.85,0.0,11.39,11.39,0.03,0.03,0.05
2025-07-31 20:40:44,14.0,5.9,0.0,0.85,0.0,0.98,0.98,0.03,0.03,0.06
2025-07-31 20:40:45,14.8,5.9,0.0,0.85,0.0,1.89,1.89,0.02,0.03,0.05
2025-07-31 20:40:46,13.8,5.9,0.0,0.85,0.0,2.18,2.18,0.04,0.04,0.08
2025-07-31 20:40:47,14.3,5.9,0.0,0.85,0.0,1.64,1.64,0.02,0.03,0.05
2025-07-31 20:40:48,14.0,5.8,0.0,0.85,0.0,2.08,2.08,0.02,0.03,0.05
2025-07-31 20:40:49,14.7,5.8,0.0,0.85,0.0,2.25,2.25,0.02,0.02,0.05
2025-07-31 20:40:50,15.4,5.8,0.0,0.85,0.0,1.11,1.11,0.02,0.02,0.05
2025-07-31 20:40:51,16.2,5.8,0.0,0.85,0.0,3.06,3.06,0.04,0.04,0.08
2025-07-31 20:40:52,15.1,5.8,0.0,0.85,0.0,1.08,1.08,0.02,0.03,0.05
2025-07-31 20:40:53,14.2,5.8,0.0,0.85,0.0,1.65,1.65,0.02,0.03,0.05
2025-07-31 20:40:54,14.0,5.8,0.0,0.85,0.0,0.81,0.81,0.03,0.03,0.06
2025-07-31 20:40:55,14.6,5.8,0.0,0.85,0.0,2.04,2.04,0.02,0.03,0.05
2025-07-31 20:40:56,15.9,5.8,0.0,0.85,0.0,1.35,1.35,0.04,0.04,0.08
2025-07-31 20:40:57,13.7,5.8,0.0,0.85,0.0,2.35,2.35,0.02,0.03,0.05
2025-07-31 20:40:58,15.0,5.9,0.0,0.85,0.0,2.17,2.17,0.02,0.03,0.05
2025-07-31 20:40:59,16.4,5.9,0.0,0.85,0.0,2.07,2.07,0.02,0.03,0.05
2025-07-31 20:41:00,16.4,5.9,0.0,0.85,0.0,0.74,0.74,0.02,0.02,0.05
2025-07-31 20:41:01,16.0,5.9,0.0,0.85,0.0,1.91,1.91,0.04,0.04,0.09
2025-07-31 20:41:02,13.9,5.9,0.0,0.85,0.0,2.0,2.0,0.02,0.02,0.04
2025-07-31 20:41:03,14.3,5.9,0.0,0.85,0.0,1.75,1.75,0.02,0.03,0.05
2025-07-31 20:41:04,11.8,5.9,0.0,0.85,0.0,0.77,0.77,0.03,0.03,0.06
2025-07-31 20:41:05,14.3,5.8,0.0,0.85,0.0,2.47,2.47,0.02,0.02,0.05
2025-07-31 20:41:06,14.7,5.8,0.0,0.85,0.0,3.27,3.27,0.04,0.04,0.08
2025-07-31 20:41:07,14.1,5.8,0.0,0.85,0.0,3.07,3.07,0.02,0.03,0.05
2025-07-31 20:41:08,14.8,5.8,0.0,0.85,0.0,2.25,2.25,0.02,0.03,0.05
2025-07-31 20:41:09,15.1,5.8,0.0,0.85,0.0,6.79,6.79,0.02,0.02,0.05
2025-07-31 20:41:10,16.5,5.8,0.0,0.85,0.0,0.8,0.8,0.02,0.02,0.05
2025-07-31 20:41:11,13.7,5.9,0.0,0.85,0.0,1.93,1.93,0.04,0.04,0.08
2025-07-31 20:41:12,14.2,5.8,0.0,0.85,0.0,1.84,1.84,0.02,0.02,0.04
2025-07-31 20:41:13,13.9,5.8,0.0,0.85,0.0,8.74,8.74,0.02,0.03,0.05
2025-07-31 20:41:14,14.1,5.8,0.0,0.85,0.0,1.05,1.05,0.03,0.03,0.06
2025-07-31 20:41:15,14.3,5.8,0.0,0.85,0.0,1.6,1.6,0.02,0.02,0.05
2025-07-31 20:41:16,16.5,5.8,0.0,0.85,0.0,1.84,1.84,0.04,0.04,0.08
2025-07-31 20:41:17,14.3,5.8,0.0,0.85,0.0,2.74,2.74,0.02,0.02,0.04
