timestamp,cpu_percent,ram_percent,gpu_avg_util_percent,gpu_avg_mem_percent,disk_read_MBps,disk_write_MBps,disk_total_MBps,net_sent_MBps,net_recv_MBps,net_total_MBps
2025-08-09 17:50:02,4.7,7.0,0.0,0.85,0.0,1.63,1.63,0.01,0.01,0.01
2025-08-09 17:50:03,4.3,7.0,0.0,0.85,0.0,1.67,1.67,0.01,0.01,0.01
2025-08-09 17:50:04,5.6,7.0,0.0,0.85,0.0,0.95,0.95,0.01,0.01,0.02
2025-08-09 17:50:05,5.4,7.0,0.0,0.85,0.0,1.63,1.63,0.01,0.01,0.02
2025-08-09 17:50:06,4.2,7.0,0.0,0.85,0.0,0.84,0.84,0.01,0.01,0.02
2025-08-09 17:50:07,4.9,7.0,0.0,0.85,0.0,2.01,2.01,0.01,0.01,0.01
2025-08-09 17:50:08,6.8,7.0,0.0,0.85,0.0,1.12,1.12,0.01,0.0,0.01
2025-08-09 17:50:09,4.2,7.0,0.0,0.85,0.0,2.03,2.03,0.01,0.01,0.01
2025-08-09 17:50:10,3.7,7.0,0.0,0.85,0.0,0.77,0.77,0.04,0.04,0.08
2025-08-09 17:50:11,5.0,7.0,0.0,0.85,0.0,1.73,1.73,0.01,0.01,0.02
2025-08-09 17:50:12,3.7,7.0,0.0,0.85,0.0,1.02,1.02,0.01,0.01,0.02
2025-08-09 17:50:13,4.1,7.0,0.0,0.85,0.0,2.02,2.02,0.01,0.01,0.01
2025-08-09 17:50:14,4.1,7.0,0.0,0.85,0.0,1.1,1.1,0.01,0.01,0.02
2025-08-09 17:50:15,3.7,7.0,0.0,0.85,0.0,1.69,1.69,0.01,0.01,0.02
2025-08-09 17:50:16,3.9,7.0,0.0,0.85,0.0,0.77,0.77,0.01,0.01,0.02
2025-08-09 17:50:17,4.0,7.0,0.0,0.85,0.0,2.42,2.42,0.01,0.01,0.02
2025-08-09 17:50:18,5.8,7.0,0.0,0.85,0.0,1.21,1.21,0.01,0.01,0.01
2025-08-09 17:50:19,4.5,7.0,0.0,0.85,0.0,1.7,1.7,0.01,0.01,0.01
2025-08-09 17:50:20,3.5,7.0,0.0,0.85,0.0,0.98,0.98,0.01,0.01,0.02
2025-08-09 17:50:21,4.1,7.0,0.0,0.85,0.0,1.9,1.9,0.01,0.01,0.02
2025-08-09 17:50:22,4.7,7.0,0.0,0.85,0.0,1.16,1.16,0.01,0.01,0.02
2025-08-09 17:50:23,4.6,7.0,0.0,0.85,0.0,1.86,1.86,0.01,0.01,0.02
2025-08-09 17:50:24,6.6,7.0,0.0,0.85,0.0,1.27,1.27,0.01,0.01,0.01
2025-08-09 17:50:25,5.2,7.0,0.0,0.85,0.0,1.91,1.91,0.01,0.01,0.02
