dag_id,run_id,task_name,task_id,sub_time,arrival_time,start_exec_time,finish_exec_time,exec_time,leave_time,completion_time,response_time,scheduler_cost_time,pred_exec_time,pred_cost_time
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,5dabe454-bd02-4121-b6c8-68e40e63eba9,task1_start_receive_task,5dabe454-bd02-4121-b6c8-68e40e63eba9-task1_start_receive_task,1754729444.5610344,1754729444.5668895,1754729448.9889915,1754729449.0033333,0.01434183120727539,1754729449.0442197,4.43644380569458,4.483185291290283,4.76837158203125e-06,,
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,5dabe454-bd02-4121-b6c8-68e40e63eba9,task2_read_file,5dabe454-bd02-4121-b6c8-68e40e63eba9-task2_read_file,1754729444.5610344,1754729444.5668895,1754729450.3296335,1754729450.3438647,0.014231204986572266,1754729450.3873477,5.776975154876709,5.826313257217407,2.9325485229492188e-05,3.0,1.6450881958007812e-05
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,5dabe454-bd02-4121-b6c8-68e40e63eba9,task3_file_process,5dabe454-bd02-4121-b6c8-68e40e63eba9-task3_file_process,1754729444.5610344,1754729444.5668895,1754729452.9180558,1754729453.1541648,0.23610901832580566,1754729453.2192945,8.587275266647339,8.658260107040405,1.6927719116210938e-05,3.0,8.821487426757812e-06
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,5dabe454-bd02-4121-b6c8-68e40e63eba9,task4a_vlm_process,5dabe454-bd02-4121-b6c8-68e40e63eba9-task4a_vlm_process,1754729444.5610344,1754729444.5668895,1754729693.857947,1754729724.316449,30.4585018157959,1754729724.4411767,279.7495594024658,279.88014221191406,0.0005297660827636719,15.0,0.0005197525024414062
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,5dabe454-bd02-4121-b6c8-68e40e63eba9,task4b_vlm_process,5dabe454-bd02-4121-b6c8-68e40e63eba9-task4b_vlm_process,1754729444.5610344,1754729444.5668895,1754729728.348659,1754729752.4395897,24.090930700302124,1754729752.6026437,307.872700214386,308.04160928726196,0.0003466606140136719,15.0,0.00033855438232421875
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,5dabe454-bd02-4121-b6c8-68e40e63eba9,task4c_vlm_process,5dabe454-bd02-4121-b6c8-68e40e63eba9-task4c_vlm_process,1754729444.5610344,1754729444.5668895,1754729756.6449037,1754729789.651364,33.006460428237915,1754729789.8256135,345.08447456359863,345.2645790576935,0.007355690002441406,15.0,0.007348299026489258
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,5dabe454-bd02-4121-b6c8-68e40e63eba9,task4d_vlm_process,5dabe454-bd02-4121-b6c8-68e40e63eba9-task4d_vlm_process,1754729444.5610344,1754729444.5668895,1754729794.3163798,1754729831.6256125,37.30923271179199,1754729831.7313643,387.0587229728699,387.17032980918884,0.00018787384033203125,15.0,0.0001819133758544922
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,5dabe454-bd02-4121-b6c8-68e40e63eba9,task4_merge_results,5dabe454-bd02-4121-b6c8-68e40e63eba9-task4_merge_results,1754729444.5610344,1754729444.5668895,1754729833.579925,1754729833.588234,0.008308887481689453,1754729833.6381905,389.02134442329407,389.07715606689453,3.123283386230469e-05,1.0,1.71661376953125e-05
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,5dabe454-bd02-4121-b6c8-68e40e63eba9,task5_output_final_answer,5dabe454-bd02-4121-b6c8-68e40e63eba9-task5_output_final_answer,1754729444.5610344,1754729444.5668895,1754729834.9611952,1754729834.9662561,0.005060911178588867,1754729835.0112023,390.39936661720276,390.4501678943634,1.6689300537109375e-05,1.0,9.5367431640625e-06
0a3f0429-68e2-4343-94d1-d7e0b30abb39,bba1eded-fc75-4c0d-805c-08dd048a449b,task0_init,bba1eded-fc75-4c0d-805c-08dd048a449b-task0_init,1754729715.5262268,1754729715.5286946,1754729716.680154,1754729716.9298203,0.2496662139892578,1754729716.9715555,1.4011256694793701,1.445328712463379,4.291534423828125e-06,,
0a3f0429-68e2-4343-94d1-d7e0b30abb39,bba1eded-fc75-4c0d-805c-08dd048a449b,task1_llm_process1,bba1eded-fc75-4c0d-805c-08dd048a449b-task1_llm_process1,1754729715.5262268,1754729715.5286946,1754729911.6559026,1754729948.542742,36.886839389801025,1754729948.638614,233.01404738426208,233.11238718032837,0.00016427040100097656,15.0,0.00015616416931152344
0a3f0429-68e2-4343-94d1-d7e0b30abb39,bba1eded-fc75-4c0d-805c-08dd048a449b,task2_get_user_and_reservation_details,bba1eded-fc75-4c0d-805c-08dd048a449b-task2_get_user_and_reservation_details,1754729715.5262268,1754729715.5286946,1754729950.8359826,1754729951.0190809,0.18309831619262695,1754729951.0918498,235.4903862476349,235.56562304496765,1.8835067749023438e-05,3.0,1.0251998901367188e-05
0a3f0429-68e2-4343-94d1-d7e0b30abb39,bba1eded-fc75-4c0d-805c-08dd048a449b,task3_cancel_reservation,bba1eded-fc75-4c0d-805c-08dd048a449b-task3_cancel_reservation,1754729715.5262268,1754729715.5286946,1754729952.7460837,1754729952.9196155,0.17353177070617676,1754729952.9971616,237.39092087745667,237.4709348678589,1.5974044799804688e-05,1.0,7.867813110351562e-06
0a3f0429-68e2-4343-94d1-d7e0b30abb39,bba1eded-fc75-4c0d-805c-08dd048a449b,task4_search_new_flights,bba1eded-fc75-4c0d-805c-08dd048a449b-task4_search_new_flights,1754729715.5262268,1754729715.5286946,1754729955.1750233,1754729955.3764358,0.20141243934631348,1754729955.453111,239.84774112701416,239.92688417434692,1.7881393432617188e-05,3.0,9.5367431640625e-06
0a3f0429-68e2-4343-94d1-d7e0b30abb39,bba1eded-fc75-4c0d-805c-08dd048a449b,task5_llm_process2,bba1eded-fc75-4c0d-805c-08dd048a449b-task5_llm_process2,1754729715.5262268,1754729715.5286946,1754729957.3091872,1754729998.0220113,40.71282410621643,1754729998.1460104,282.4933166503906,282.61978363990784,0.00013709068298339844,15.0,0.0001289844512939453
0a3f0429-68e2-4343-94d1-d7e0b30abb39,bba1eded-fc75-4c0d-805c-08dd048a449b,task6_book_new_reservation,bba1eded-fc75-4c0d-805c-08dd048a449b-task6_book_new_reservation,1754729715.5262268,1754729715.5286946,1754729999.7820516,1754729999.9624388,0.18038725852966309,1754730000.0438042,284.4337441921234,284.51757740974426,2.0503997802734375e-05,3.0,1.1682510375976562e-05
eaf9ba14-bf52-4bbc-9d0b-f02d09379fac,d9355704-0522-4e31-ba94-683ba3165bc8,task0_init,d9355704-0522-4e31-ba94-683ba3165bc8-task0_init,1754729952.3230162,1754729952.3255014,1754729953.5183923,1754729953.610375,0.09198260307312012,1754729953.6489015,1.2848734855651855,1.32588529586792,4.5299530029296875e-06,,
eaf9ba14-bf52-4bbc-9d0b-f02d09379fac,d9355704-0522-4e31-ba94-683ba3165bc8,task1_llm_process,d9355704-0522-4e31-ba94-683ba3165bc8-task1_llm_process,1754729952.3230162,1754729952.3255014,1754729955.461124,1754730000.692836,45.231712102890015,1754730000.7534714,48.367334604263306,48.43045520782471,0.00013399124145507812,15.0,0.0001266002655029297
eaf9ba14-bf52-4bbc-9d0b-f02d09379fac,d9355704-0522-4e31-ba94-683ba3165bc8,task2a_find_user,d9355704-0522-4e31-ba94-683ba3165bc8-task2a_find_user,1754729952.3230162,1754729952.3255014,1754730002.4784548,1754730002.4796946,0.001239776611328125,1754730002.5507922,50.15419316291809,50.22777605056763,1.8358230590820312e-05,3.0,1.0728836059570312e-05
eaf9ba14-bf52-4bbc-9d0b-f02d09379fac,d9355704-0522-4e31-ba94-683ba3165bc8,task2b_get_order_details,d9355704-0522-4e31-ba94-683ba3165bc8-task2b_get_order_details,1754729952.3230162,1754729952.3255014,1754730003.029744,1754730003.1102135,0.08046960830688477,1754730003.152446,50.784712076187134,50.82942986488342,3.1948089599609375e-05,3.0,2.6464462280273438e-05
eaf9ba14-bf52-4bbc-9d0b-f02d09379fac,d9355704-0522-4e31-ba94-683ba3165bc8,task3_execute_operations,d9355704-0522-4e31-ba94-683ba3165bc8-task3_execute_operations,1754729952.3230162,1754729952.3255014,1754730004.8019524,1754730004.88728,0.0853276252746582,1754730004.9570386,52.56177854537964,52.63402247428894,1.6689300537109375e-05,3.0,9.059906005859375e-06
eaf9ba14-bf52-4bbc-9d0b-f02d09379fac,d9355704-0522-4e31-ba94-683ba3165bc8,task4_output_result,d9355704-0522-4e31-ba94-683ba3165bc8-task4_output_result,1754729952.3230162,1754729952.3255014,1754730006.736019,1754730006.737002,0.0009829998016357422,1754730006.7622032,54.411500453948975,54.43918704986572,1.8596649169921875e-05,1.0,1.0967254638671875e-05
6e2edd86-9bc7-4233-8de9-cae74e8d64bc,016cc0b2-c7ba-4450-99a0-4ac7e1425940,task0_init,016cc0b2-c7ba-4450-99a0-4ac7e1425940-task0_init,1754729946.9333174,1754729946.9360564,1754729948.1244628,1754729948.218534,0.0940711498260498,1754729948.7364109,1.282477617263794,1.803093433380127,4.76837158203125e-06,,
6e2edd86-9bc7-4233-8de9-cae74e8d64bc,016cc0b2-c7ba-4450-99a0-4ac7e1425940,task1_llm_process,016cc0b2-c7ba-4450-99a0-4ac7e1425940-task1_llm_process,1754729946.9333174,1754729946.9360564,1754730002.3255148,1754730037.6568398,35.3313250541687,1754730037.7370021,90.72078347206116,90.8036847114563,0.000125885009765625,15.0,0.000118255615234375
