timestamp,cpu_percent,ram_percent,gpu_avg_util_percent,gpu_avg_mem_percent,disk_read_MBps,disk_write_MBps,disk_total_MBps,net_sent_MBps,net_recv_MBps,net_total_MBps
2025-08-13 10:06:32,5.4,54.1,0.0,0.85,0.0,1.1,1.1,0.05,0.05,0.1
2025-08-13 10:06:33,6.0,54.1,0.0,0.85,0.0,0.45,0.45,0.03,0.04,0.07
2025-08-13 10:06:34,4.7,54.1,0.0,0.85,0.0,0.92,0.92,0.05,0.06,0.11
2025-08-13 10:06:35,6.1,54.1,0.0,0.85,0.0,8.93,8.93,0.05,0.05,0.1
2025-08-13 10:06:36,6.3,54.1,0.0,0.85,0.0,0.06,0.06,0.03,0.03,0.06
2025-08-13 10:06:37,6.2,54.1,0.0,0.85,0.0,1.75,1.75,0.05,0.05,0.1
2025-08-13 10:06:38,6.6,54.1,0.0,0.85,0.0,0.07,0.07,0.03,0.03,0.06
2025-08-13 10:06:39,6.3,54.1,0.0,0.85,0.0,1.05,1.05,0.06,0.06,0.12
2025-08-13 10:06:40,4.9,54.1,0.0,0.85,0.0,6.24,6.24,0.04,0.05,0.09
2025-08-13 10:06:41,4.9,54.1,0.0,0.85,0.0,0.13,0.13,0.03,0.03,0.06
2025-08-13 10:06:42,6.2,54.1,0.0,0.85,0.0,1.01,1.01,0.12,0.12,0.23
2025-08-13 10:06:43,4.8,54.1,0.0,0.85,0.0,1.09,1.09,0.06,0.07,0.13
2025-08-13 10:06:44,4.9,54.1,0.0,0.85,0.0,0.78,0.78,0.07,0.07,0.14
2025-08-13 10:06:45,5.9,54.1,0.0,0.85,0.0,6.4,6.4,0.05,0.05,0.1
2025-08-13 10:06:46,5.5,54.1,0.0,0.85,0.0,0.03,0.03,0.04,0.04,0.08
2025-08-13 10:06:47,6.0,54.1,0.0,0.85,0.0,2.16,2.16,0.06,0.06,0.11
2025-08-13 10:06:48,6.4,54.1,0.0,0.85,0.0,0.49,0.49,0.06,0.07,0.13
2025-08-13 10:06:49,5.6,54.1,0.0,0.85,0.0,0.54,0.54,0.08,0.08,0.16
2025-08-13 10:06:50,5.3,54.1,0.0,0.85,0.0,7.88,7.88,0.05,0.05,0.1
2025-08-13 10:06:51,5.8,54.1,0.0,0.85,0.0,0.11,0.11,0.04,0.04,0.08
2025-08-13 10:06:52,7.1,54.1,0.0,0.85,0.0,0.03,0.03,0.06,0.06,0.11
2025-08-13 10:06:53,5.5,54.1,0.0,0.85,0.0,1.25,1.25,0.04,0.04,0.08
2025-08-13 10:06:54,6.3,54.1,0.0,0.85,0.0,0.18,0.18,0.06,0.06,0.12
2025-08-13 10:06:55,5.4,54.1,0.0,0.85,0.0,1.31,1.31,0.04,0.04,0.08
2025-08-13 10:06:56,5.5,54.1,0.0,0.85,0.0,6.99,6.99,0.03,0.04,0.07
2025-08-13 10:06:57,5.9,54.1,0.0,0.85,0.0,0.23,0.23,0.07,0.07,0.14
2025-08-13 10:06:58,5.4,54.1,0.0,0.85,0.0,1.41,1.41,0.06,0.07,0.13
2025-08-13 10:06:59,5.4,54.1,0.0,0.85,0.0,0.06,0.06,0.06,0.07,0.13
2025-08-13 10:07:00,5.5,54.1,0.0,0.85,0.0,0.32,0.32,0.03,0.04,0.07
2025-08-13 10:07:01,5.3,54.1,0.0,0.85,0.0,7.46,7.46,0.05,0.05,0.09
2025-08-13 10:07:02,6.6,54.1,0.0,0.85,0.0,0.1,0.1,0.07,0.07,0.14
2025-08-13 10:07:03,5.2,54.1,0.0,0.85,0.0,1.83,1.83,0.03,0.04,0.07
2025-08-13 10:07:04,5.7,54.1,0.0,0.85,0.0,1.31,1.31,0.05,0.05,0.1
2025-08-13 10:07:05,5.2,54.1,0.0,0.85,0.0,0.24,0.24,0.04,0.04,0.08
2025-08-13 10:07:06,5.7,54.1,0.0,0.85,0.0,6.59,6.59,0.06,0.06,0.13
2025-08-13 10:07:07,6.9,54.1,0.0,0.85,0.0,1.0,1.0,0.09,0.09,0.18
2025-08-13 10:07:08,5.6,54.1,0.0,0.85,0.0,1.19,1.19,0.08,0.07,0.16
2025-08-13 10:07:09,5.6,54.1,0.0,0.85,0.0,0.25,0.25,0.07,0.07,0.14
2025-08-13 10:07:10,5.6,54.1,0.0,0.85,0.0,0.32,0.32,0.07,0.07,0.14
2025-08-13 10:07:11,5.3,54.1,0.0,0.85,0.0,0.17,0.17,0.03,0.03,0.05
2025-08-13 10:07:12,5.8,54.1,0.0,0.85,0.0,7.89,7.89,0.03,0.03,0.06
2025-08-13 10:07:13,6.5,54.1,0.0,0.85,0.0,1.39,1.39,0.05,0.05,0.09
2025-08-13 10:07:14,5.1,54.1,0.0,0.85,0.0,0.58,0.58,0.04,0.05,0.09
2025-08-13 10:07:15,5.5,54.1,0.0,0.85,0.0,0.32,0.32,0.03,0.03,0.06
2025-08-13 10:07:16,5.8,54.1,0.0,0.85,0.0,0.72,0.72,0.02,0.03,0.05
2025-08-13 10:07:17,7.2,54.1,0.0,0.85,0.0,6.63,6.63,0.03,0.03,0.05
2025-08-13 10:07:18,6.8,54.1,0.0,0.85,0.0,1.23,1.23,0.12,0.09,0.21
2025-08-13 10:07:19,5.5,54.1,0.0,0.85,0.0,0.81,0.81,1.26,0.1,1.35
2025-08-13 10:07:20,7.5,54.1,0.0,0.85,0.0,0.11,0.11,0.34,0.38,0.72
2025-08-13 10:07:21,6.7,54.1,0.0,0.85,0.0,0.33,0.33,0.15,0.09,0.24
2025-08-13 10:07:22,6.4,54.2,0.0,0.85,0.0,5.95,5.95,0.09,0.06,0.15
2025-08-13 10:07:23,8.0,54.2,0.0,0.85,0.0,2.13,2.13,0.07,0.07,0.13
2025-08-13 10:07:24,8.7,54.2,0.0,0.85,0.0,0.44,0.44,0.3,0.25,0.55
2025-08-13 10:07:25,6.1,54.2,0.0,0.85,0.0,0.2,0.2,0.07,0.08,0.15
2025-08-13 10:07:26,6.7,54.2,0.0,0.85,0.0,0.35,0.35,0.07,0.07,0.14
2025-08-13 10:07:27,6.6,54.2,0.0,0.85,0.0,7.05,7.05,0.05,0.05,0.1
2025-08-13 10:07:28,6.9,54.2,0.0,0.85,0.0,2.08,2.08,0.09,0.09,0.18
2025-08-13 10:07:29,6.6,54.2,0.0,0.85,0.0,0.15,0.15,0.07,0.08,0.15
2025-08-13 10:07:30,6.3,54.2,0.0,0.85,0.0,0.67,0.67,0.05,0.06,0.11
2025-08-13 10:07:31,6.1,54.2,0.0,0.85,0.0,0.89,0.89,0.05,0.06,0.11
2025-08-13 10:07:32,8.4,54.2,0.0,0.85,0.0,0.67,0.67,0.13,0.1,0.23
2025-08-13 10:07:33,8.5,54.3,0.0,0.85,0.0,8.67,8.67,0.24,0.2,0.44
2025-08-13 10:07:34,7.2,54.2,0.0,0.85,0.0,0.44,0.44,0.3,0.2,0.5
2025-08-13 10:07:35,7.6,54.2,0.0,0.85,0.0,1.15,1.15,0.2,0.14,0.34
2025-08-13 10:07:36,7.7,54.2,0.0,0.85,0.0,0.32,0.32,0.17,0.13,0.3
2025-08-13 10:07:37,8.9,54.2,0.0,0.85,0.0,0.96,0.96,0.19,0.2,0.39
2025-08-13 10:07:38,7.0,54.2,0.0,0.85,0.0,7.89,7.89,0.24,0.22,0.46
2025-08-13 10:07:39,6.8,54.2,0.0,0.85,0.0,0.6,0.6,0.24,0.24,0.49
2025-08-13 10:07:40,7.0,54.2,0.0,0.85,0.0,0.42,0.42,0.32,0.23,0.55
2025-08-13 10:07:41,7.0,54.2,0.0,0.85,0.0,0.79,0.79,0.18,0.19,0.37
2025-08-13 10:07:42,8.3,54.2,0.0,0.85,0.0,0.07,0.07,0.19,0.1,0.28
2025-08-13 10:07:43,7.6,54.2,0.0,0.85,0.0,8.63,8.63,0.13,0.12,0.24
2025-08-13 10:07:44,6.3,54.2,0.0,0.85,0.0,1.47,1.47,0.12,0.11,0.23
2025-08-13 10:07:45,6.0,54.2,0.0,0.85,0.0,0.06,0.06,0.07,0.08,0.15
2025-08-13 10:07:46,6.5,54.2,0.0,0.85,0.0,0.33,0.33,0.08,0.08,0.15
2025-08-13 10:07:47,8.1,54.2,0.0,0.85,0.0,0.07,0.07,0.16,0.08,0.24
2025-08-13 10:07:48,8.0,54.2,0.0,0.85,0.0,6.04,6.04,0.17,0.17,0.34
2025-08-13 10:07:49,6.8,54.2,0.0,0.85,0.0,2.38,2.38,0.22,0.19,0.41
2025-08-13 10:07:50,6.9,54.2,0.0,0.85,0.0,0.41,0.41,0.17,0.12,0.29
2025-08-13 10:07:51,7.2,54.2,0.0,0.85,0.0,0.37,0.37,0.14,0.13,0.26
2025-08-13 10:07:52,7.3,54.2,0.0,0.85,0.0,0.51,0.51,0.18,0.18,0.37
2025-08-13 10:07:53,7.0,54.2,0.0,0.85,0.0,0.13,0.13,0.25,0.22,0.47
2025-08-13 10:07:54,10.3,54.2,0.0,0.85,0.0,7.95,7.95,0.18,0.18,0.36
2025-08-13 10:07:55,7.6,54.2,0.0,0.85,0.0,0.85,0.85,0.2,0.12,0.32
2025-08-13 10:07:56,6.3,54.2,0.0,0.85,0.0,0.4,0.4,0.19,0.19,0.38
2025-08-13 10:07:57,7.1,54.2,0.0,0.85,0.0,0.45,0.45,0.22,0.23,0.45
2025-08-13 10:07:58,7.1,54.2,0.0,0.85,0.0,0.17,0.17,0.29,0.19,0.48
2025-08-13 10:07:59,8.6,54.2,0.0,0.85,0.0,7.92,7.92,0.15,0.15,0.3
2025-08-13 10:08:00,6.7,54.2,0.0,0.85,0.0,0.21,0.21,0.12,0.09,0.21
2025-08-13 10:08:01,6.3,54.2,0.0,0.85,0.0,0.18,0.18,0.07,0.07,0.14
2025-08-13 10:08:02,7.5,54.2,0.0,0.85,0.0,0.03,0.03,0.09,0.09,0.18
2025-08-13 10:08:03,6.4,54.2,0.0,0.85,0.0,0.41,0.41,0.07,0.07,0.14
2025-08-13 10:08:04,7.0,54.2,0.0,0.85,0.0,9.1,9.1,0.12,0.12,0.24
2025-08-13 10:08:05,8.6,54.2,0.0,0.85,0.0,0.98,0.98,0.09,0.09,0.18
2025-08-13 10:08:06,8.6,54.2,0.0,0.85,0.0,0.05,0.05,0.09,0.09,0.18
2025-08-13 10:08:07,8.7,54.2,0.0,0.85,0.0,0.23,0.23,0.09,0.1,0.19
2025-08-13 10:08:08,9.3,54.2,0.0,0.85,0.0,0.38,0.38,0.08,0.09,0.17
2025-08-13 10:08:09,8.4,54.2,0.0,0.85,0.0,2.22,2.22,0.13,0.13,0.26
2025-08-13 10:08:10,7.7,54.2,0.0,0.85,0.0,6.57,6.57,0.08,0.09,0.17
2025-08-13 10:08:11,5.9,54.2,0.0,0.85,0.0,0.02,0.02,0.07,0.08,0.15
2025-08-13 10:08:12,6.3,54.2,0.0,0.85,0.0,0.04,0.04,0.07,0.07,0.14
2025-08-13 10:08:13,6.0,54.2,0.0,0.85,0.0,1.62,1.62,0.07,0.07,0.14
2025-08-13 10:08:14,6.4,54.2,0.0,0.85,0.0,1.19,1.19,0.11,0.11,0.22
2025-08-13 10:08:15,6.2,54.2,0.0,0.85,0.0,7.37,7.37,0.07,0.08,0.15
2025-08-13 10:08:16,6.1,54.2,0.0,0.85,0.0,0.51,0.51,0.07,0.07,0.14
2025-08-13 10:08:17,7.0,54.2,0.0,0.85,0.0,0.14,0.14,0.1,0.11,0.21
2025-08-13 10:08:18,6.7,54.2,0.0,0.85,0.0,0.21,0.21,0.13,0.13,0.26
2025-08-13 10:08:19,7.5,54.2,0.0,0.85,0.0,1.87,1.87,0.17,0.17,0.34
2025-08-13 10:08:20,6.3,54.2,0.0,0.85,0.0,6.91,6.91,0.12,0.1,0.22
2025-08-13 10:08:21,6.8,54.2,0.0,0.85,0.0,0.98,0.98,0.07,0.07,0.14
2025-08-13 10:08:22,6.5,54.3,0.0,0.85,0.0,0.03,0.03,0.07,0.08,0.15
2025-08-13 10:08:23,6.4,54.2,0.0,0.85,0.0,0.05,0.05,0.08,0.09,0.17
2025-08-13 10:08:24,7.8,54.2,0.0,0.85,0.0,2.79,2.79,0.11,0.11,0.22
2025-08-13 10:08:25,6.4,54.3,0.0,0.85,0.0,6.75,6.75,0.3,0.39,0.69
2025-08-13 10:08:26,5.9,54.2,0.0,0.85,0.0,0.18,0.18,0.13,0.08,0.21
2025-08-13 10:08:27,6.7,54.2,0.0,0.85,0.0,0.67,0.67,0.21,0.28,0.49
2025-08-13 10:08:28,6.3,54.3,0.0,0.85,0.0,0.07,0.07,0.37,0.38,0.76
2025-08-13 10:08:29,6.9,54.3,0.0,0.85,0.0,2.81,2.81,0.24,0.32,0.56
2025-08-13 10:08:30,6.6,54.3,0.0,0.85,0.0,7.3,7.3,0.07,0.07,0.14
2025-08-13 10:08:31,5.9,54.2,0.0,0.85,0.0,0.85,0.85,0.07,0.07,0.15
2025-08-13 10:08:32,6.9,54.3,0.0,0.85,0.0,0.31,0.31,0.07,0.07,0.14
2025-08-13 10:08:33,6.3,54.2,0.0,0.85,0.0,0.06,0.06,0.07,0.08,0.15
2025-08-13 10:08:34,6.8,54.3,0.0,0.85,0.0,1.72,1.72,0.11,0.11,0.22
2025-08-13 10:08:35,6.0,54.3,0.0,0.85,0.0,1.06,1.06,0.08,0.08,0.16
2025-08-13 10:08:36,6.4,54.3,0.0,0.85,0.0,5.63,5.63,0.07,0.07,0.14
2025-08-13 10:08:37,9.3,54.3,0.0,0.85,0.0,0.24,0.24,0.07,0.08,0.15
2025-08-13 10:08:38,6.3,54.3,0.0,0.85,0.0,0.97,0.97,0.07,0.07,0.13
2025-08-13 10:08:39,7.4,54.3,0.0,0.85,0.0,0.78,0.78,0.09,0.1,0.19
2025-08-13 10:08:40,6.5,54.3,0.0,0.85,0.0,1.78,1.78,0.09,0.09,0.18
2025-08-13 10:08:41,6.2,54.3,0.0,0.85,0.0,8.9,8.9,0.07,0.07,0.14
2025-08-13 10:08:42,6.8,54.3,0.0,0.85,0.0,0.97,0.97,0.07,0.07,0.14
2025-08-13 10:08:43,6.0,54.3,0.0,0.85,0.0,0.57,0.57,0.07,0.07,0.14
2025-08-13 10:08:44,6.8,54.3,0.0,0.85,0.0,0.63,0.63,0.08,0.09,0.17
2025-08-13 10:08:45,6.7,54.3,0.0,0.85,0.0,1.05,1.05,0.1,0.1,0.2
2025-08-13 10:08:46,6.6,54.3,0.0,0.85,0.0,6.89,6.89,0.07,0.07,0.15
2025-08-13 10:08:47,6.1,54.2,0.0,0.85,0.0,1.01,1.01,0.07,0.07,0.14
2025-08-13 10:08:48,6.2,54.2,0.0,0.85,0.0,0.44,0.44,0.07,0.07,0.14
2025-08-13 10:08:49,6.1,54.2,0.0,0.85,0.0,0.65,0.65,0.09,0.09,0.18
2025-08-13 10:08:50,8.6,54.3,0.0,0.85,0.0,1.83,1.83,0.08,0.08,0.16
2025-08-13 10:08:51,7.2,54.3,0.0,0.85,0.0,0.19,0.19,0.08,0.08,0.16
2025-08-13 10:08:52,8.4,54.3,0.0,0.85,0.0,6.54,6.54,0.07,0.07,0.14
2025-08-13 10:08:53,8.9,54.3,0.0,0.85,0.0,0.05,0.05,0.07,0.07,0.14
2025-08-13 10:08:54,7.3,54.3,0.0,0.85,0.0,0.1,0.1,0.09,0.1,0.19
2025-08-13 10:08:55,7.7,54.3,0.0,0.85,0.0,1.7,1.7,0.07,0.07,0.15
2025-08-13 10:08:56,6.4,54.3,0.0,0.85,0.0,0.95,0.95,0.07,0.07,0.14
2025-08-13 10:08:57,7.1,54.3,0.0,0.85,0.0,6.72,6.72,0.07,0.07,0.14
2025-08-13 10:08:58,8.0,54.3,0.0,0.85,0.0,0.05,0.05,0.07,0.07,0.13
2025-08-13 10:08:59,6.6,54.3,0.0,0.85,0.0,0.76,0.76,0.08,0.08,0.17
2025-08-13 10:09:00,6.4,54.4,0.0,0.85,0.0,1.78,1.78,0.07,0.07,0.14
2025-08-13 10:09:01,6.7,54.5,0.0,0.85,0.0,0.64,0.64,0.07,0.07,0.14
2025-08-13 10:09:02,7.4,54.6,0.0,0.85,0.0,8.76,8.76,0.06,0.07,0.13
2025-08-13 10:09:03,6.7,54.7,0.0,0.85,0.0,0.38,0.38,0.08,0.08,0.16
2025-08-13 10:09:04,6.6,54.8,0.0,0.85,0.0,0.38,0.38,0.09,0.09,0.18
