timestamp,cpu_percent,ram_percent,gpu_avg_util_percent,gpu_avg_mem_percent,disk_read_MBps,disk_write_MBps,disk_total_MBps,net_sent_MBps,net_recv_MBps,net_total_MBps
2025-08-12 07:54:32,4.2,42.5,0.0,0.85,0.0,0.09,0.09,0.0,0.0,0.01
2025-08-12 07:54:33,5.0,42.5,0.0,0.85,0.0,1.15,1.15,0.0,0.0,0.0
2025-08-12 07:54:34,3.7,42.5,0.0,0.85,0.0,0.02,0.02,0.0,0.0,0.0
2025-08-12 07:54:35,5.1,42.4,0.0,0.85,0.0,6.29,6.29,0.0,0.0,0.0
2025-08-12 07:54:36,5.3,42.5,0.0,0.85,0.0,0.58,0.58,0.0,0.0,0.0
2025-08-12 07:54:37,5.1,42.5,0.0,0.85,0.0,0.05,0.05,0.0,0.0,0.0
2025-08-12 07:54:38,5.6,42.5,0.0,0.85,0.0,0.63,0.63,0.0,0.0,0.0
2025-08-12 07:54:39,4.5,42.5,0.0,0.85,0.0,0.05,0.05,0.0,0.0,0.0
2025-08-12 07:54:40,3.7,42.4,0.0,0.85,0.0,7.09,7.09,0.0,0.0,0.01
2025-08-12 07:54:41,3.7,42.5,0.0,0.85,0.0,0.16,0.16,0.0,0.0,0.0
2025-08-12 07:54:42,4.4,42.5,0.0,0.85,0.0,0.81,0.81,0.0,0.0,0.0
2025-08-12 07:54:43,4.7,42.5,0.0,0.85,0.0,0.32,0.32,0.0,0.0,0.0
2025-08-12 07:54:44,4.7,42.5,0.0,0.85,0.0,0.78,0.78,0.0,0.0,0.0
2025-08-12 07:54:45,3.7,42.5,0.0,0.85,0.0,67.57,67.57,0.0,0.0,0.0
2025-08-12 07:54:46,3.7,42.5,0.0,0.85,0.0,0.6,0.6,0.0,0.0,0.01
2025-08-12 07:54:47,4.6,42.5,0.0,0.85,0.0,0.24,0.24,0.0,0.0,0.0
2025-08-12 07:54:48,4.0,42.5,0.0,0.85,0.0,0.6,0.6,0.0,0.0,0.0
2025-08-12 07:54:49,3.6,42.5,0.0,0.85,0.0,0.63,0.63,0.0,0.0,0.0
2025-08-12 07:54:50,4.3,42.5,0.0,0.85,0.0,42.45,42.45,0.0,0.0,0.0
2025-08-12 07:54:51,5.0,42.5,0.0,0.85,0.0,82.95,82.95,0.0,0.0,0.0
2025-08-12 07:54:52,4.7,42.4,0.0,0.85,0.0,0.09,0.09,0.0,0.0,0.0
2025-08-12 07:54:53,5.3,42.4,0.0,0.85,0.0,1.14,1.14,0.0,0.0,0.0
2025-08-12 07:54:54,5.4,42.4,0.0,0.85,0.0,0.49,0.49,0.0,0.0,0.0
2025-08-12 07:54:55,5.3,42.5,0.0,0.85,0.0,0.49,0.49,0.0,0.0,0.0
2025-08-12 07:54:56,5.0,42.5,0.0,0.85,0.0,0.19,0.19,0.0,0.01,0.01
2025-08-12 07:54:57,5.6,42.5,0.0,0.85,0.0,0.77,0.77,0.0,0.0,0.01
2025-08-12 07:54:58,5.9,42.5,0.0,0.85,0.0,0.09,0.09,0.0,0.0,0.0
2025-08-12 07:54:59,5.2,42.5,0.0,0.85,0.0,0.19,0.19,0.0,0.0,0.0
2025-08-12 07:55:00,4.9,42.5,0.0,0.85,0.0,0.1,0.1,0.0,0.0,0.01
2025-08-12 07:55:01,5.0,42.5,0.0,0.85,0.0,0.16,0.16,0.0,0.0,0.0
2025-08-12 07:55:02,5.7,42.5,0.0,0.85,0.0,1.27,1.27,0.0,0.0,0.0
2025-08-12 07:55:03,5.3,42.5,0.0,0.85,0.0,0.36,0.36,0.0,0.0,0.0
2025-08-12 07:55:04,5.1,42.5,0.0,0.85,0.0,0.05,0.05,0.0,0.0,0.0
2025-08-12 07:55:05,5.1,42.5,0.0,0.85,0.0,0.83,0.83,0.0,0.0,0.01
2025-08-12 07:55:06,5.2,42.5,0.0,0.85,0.0,26.69,26.69,0.0,0.0,0.0
2025-08-12 07:55:07,6.4,42.5,0.0,0.85,0.0,0.25,0.25,0.0,0.0,0.0
2025-08-12 07:55:08,5.7,42.5,0.0,0.85,0.0,1.26,1.26,0.0,0.0,0.0
2025-08-12 07:55:09,5.2,42.5,0.0,0.85,0.0,0.06,0.06,0.0,0.0,0.0
2025-08-12 07:55:10,5.0,42.5,0.0,0.85,0.0,0.65,0.65,0.0,0.0,0.0
2025-08-12 07:55:11,4.9,42.5,0.0,0.85,0.0,4.86,4.86,0.0,0.0,0.0
2025-08-12 07:55:12,5.6,42.5,0.0,0.85,0.0,0.1,0.1,0.0,0.0,0.0
2025-08-12 07:55:13,5.5,42.5,0.0,0.85,0.0,0.1,0.1,0.0,0.0,0.0
2025-08-12 07:55:14,5.0,42.5,0.0,0.85,0.0,0.33,0.33,0.0,0.0,0.0
2025-08-12 07:55:15,4.8,42.5,0.0,0.85,0.0,1.18,1.18,0.0,0.0,0.0
2025-08-12 07:55:16,4.9,42.5,0.0,0.85,0.0,7.69,7.69,0.0,0.0,0.0
2025-08-12 07:55:17,5.3,42.5,0.0,0.85,0.0,0.61,0.61,0.0,0.0,0.0
2025-08-12 07:55:18,5.5,42.5,0.0,0.85,0.0,0.1,0.1,0.0,0.0,0.0
2025-08-12 07:55:19,4.1,42.5,0.0,0.85,0.0,0.57,0.57,0.0,0.0,0.0
2025-08-12 07:55:20,5.6,42.5,0.0,0.85,0.0,0.41,0.41,0.0,0.0,0.0
2025-08-12 07:55:21,5.5,42.5,0.0,0.85,0.0,6.39,6.39,0.0,0.0,0.0
2025-08-12 07:55:22,5.6,42.6,0.0,0.85,0.0,0.85,0.85,0.0,0.0,0.0
2025-08-12 07:55:23,8.6,42.6,0.0,0.85,0.0,0.17,0.17,0.0,0.0,0.0
2025-08-12 07:55:24,6.5,42.6,0.0,0.85,0.0,0.16,0.16,0.0,0.0,0.0
2025-08-12 07:55:25,5.1,42.6,0.0,0.85,0.0,0.06,0.06,0.0,0.0,0.0
2025-08-12 07:55:26,5.1,42.6,0.0,0.85,0.0,0.04,0.04,0.0,0.0,0.0
2025-08-12 07:55:27,5.4,42.6,0.0,0.85,0.0,5.17,5.17,0.0,0.0,0.0
2025-08-12 07:55:28,6.0,42.6,0.0,0.85,0.0,0.68,0.68,0.0,0.0,0.01
2025-08-12 07:55:29,5.0,42.6,0.0,0.85,0.0,0.28,0.28,0.0,0.0,0.0
2025-08-12 07:55:30,4.9,42.6,0.0,0.85,0.0,0.75,0.75,0.0,0.0,0.0
2025-08-12 07:55:31,5.0,42.6,0.0,0.85,0.0,0.04,0.04,0.0,0.0,0.0
2025-08-12 07:55:32,5.8,42.6,0.0,0.85,0.0,6.94,6.94,0.0,0.0,0.01
2025-08-12 07:55:33,5.4,42.6,0.0,0.85,0.0,0.22,0.22,0.0,0.0,0.0
2025-08-12 07:55:34,5.2,42.6,0.0,0.85,0.0,0.24,0.24,0.0,0.0,0.0
2025-08-12 07:55:35,5.0,42.6,0.0,0.85,0.0,1.31,1.31,0.0,0.0,0.01
2025-08-12 07:55:36,5.4,42.6,0.0,0.85,0.0,0.43,0.43,0.0,0.0,0.0
2025-08-12 07:55:37,5.4,42.6,0.0,0.85,0.0,0.05,0.05,0.0,0.0,0.0
2025-08-12 07:55:38,6.0,42.6,0.0,0.85,0.0,9.6,9.6,0.0,0.0,0.0
2025-08-12 07:55:39,4.8,42.6,0.0,0.85,0.0,0.23,0.23,0.0,0.0,0.0
2025-08-12 07:55:40,5.1,42.6,0.0,0.85,0.0,0.09,0.09,0.0,0.0,0.0
2025-08-12 07:55:41,4.9,42.6,0.0,0.85,0.0,0.84,0.84,0.0,0.0,0.0
2025-08-12 07:55:42,5.0,42.6,0.0,0.85,0.0,0.09,0.09,0.0,0.0,0.0
2025-08-12 07:55:43,5.3,42.6,0.0,0.85,0.0,5.56,5.56,0.0,0.0,0.0
2025-08-12 07:55:44,5.1,42.6,0.0,0.85,0.0,0.61,0.61,0.0,0.0,0.0
2025-08-12 07:55:45,5.0,42.6,0.0,0.85,0.0,1.1,1.1,0.0,0.0,0.0
2025-08-12 07:55:46,4.9,42.6,0.0,0.85,0.0,0.37,0.37,0.0,0.0,0.0
2025-08-12 07:55:47,5.1,42.6,0.0,0.85,0.0,0.43,0.43,0.0,0.0,0.0
2025-08-12 07:55:48,5.7,42.6,0.0,0.85,0.0,6.11,6.11,0.0,0.0,0.0
2025-08-12 07:55:49,5.2,42.6,0.0,0.85,0.0,0.26,0.26,0.0,0.0,0.0
2025-08-12 07:55:50,4.9,42.6,0.0,0.85,0.0,0.19,0.19,0.0,0.0,0.0
2025-08-12 07:55:51,5.4,42.6,0.0,0.85,0.0,0.11,0.11,0.0,0.0,0.0
2025-08-12 07:55:52,5.3,42.6,0.0,0.85,0.0,1.08,1.08,0.0,0.0,0.0
2025-08-12 07:55:53,5.4,42.6,0.0,0.85,0.0,8.01,8.01,0.0,0.0,0.0
2025-08-12 07:55:54,5.5,42.6,0.0,0.85,0.0,0.1,0.1,0.0,0.0,0.0
2025-08-12 07:55:55,5.1,42.6,0.0,0.85,0.0,0.14,0.14,0.0,0.0,0.0
2025-08-12 07:55:56,5.0,42.6,0.0,0.85,0.0,0.07,0.07,0.0,0.0,0.0
2025-08-12 07:55:57,4.9,42.6,0.0,0.85,0.0,0.19,0.19,0.0,0.0,0.0
2025-08-12 07:55:58,5.7,42.6,0.0,0.85,0.0,7.62,7.62,0.0,0.0,0.0
2025-08-12 07:55:59,5.2,42.6,0.0,0.85,0.0,0.77,0.77,0.0,0.0,0.0
2025-08-12 07:56:00,4.9,42.6,0.0,0.85,0.0,0.24,0.24,0.0,0.0,0.0
2025-08-12 07:56:01,4.8,42.6,0.0,0.85,0.0,0.06,0.06,0.0,0.0,0.0
2025-08-12 07:56:02,5.9,42.6,0.0,0.85,0.0,0.56,0.56,0.0,0.0,0.0
2025-08-12 07:56:03,4.9,42.6,0.0,0.85,0.0,0.51,0.51,0.0,0.0,0.0
2025-08-12 07:56:04,5.6,42.6,0.0,0.85,0.0,5.63,5.63,0.0,0.0,0.0
2025-08-12 07:56:05,7.0,42.6,0.0,0.85,0.0,0.6,0.6,0.0,0.0,0.01
2025-08-12 07:56:06,6.0,42.6,0.0,0.85,0.0,0.47,0.47,0.0,0.0,0.0
2025-08-12 07:56:07,6.2,42.6,0.0,0.85,0.0,0.5,0.5,0.0,0.0,0.0
2025-08-12 07:56:08,6.9,42.6,0.0,0.85,0.0,0.32,0.32,0.0,0.0,0.0
2025-08-12 07:56:09,5.7,42.6,0.0,0.85,0.0,7.09,7.09,0.0,0.0,0.0
2025-08-12 07:56:10,5.0,42.6,0.0,0.85,0.0,0.67,0.67,0.0,0.0,0.01
2025-08-12 07:56:11,5.0,42.6,0.0,0.85,0.0,0.2,0.2,0.0,0.0,0.0
2025-08-12 07:56:12,5.0,42.6,0.0,0.85,0.0,0.16,0.16,0.0,0.0,0.0
