timestamp,cpu_percent,ram_percent,gpu_avg_util_percent,gpu_avg_mem_percent,disk_read_MBps,disk_write_MBps,disk_total_MBps,net_sent_MBps,net_recv_MBps,net_total_MBps
2025-08-09 21:56:02,4.9,7.4,0.0,88.59,0.0,1.2,1.2,0.0,0.0,0.01
2025-08-09 21:56:03,6.8,7.4,0.0,88.59,0.0,1.52,1.52,0.0,0.0,0.01
2025-08-09 21:56:04,4.1,7.4,0.0,88.59,0.0,0.35,0.35,0.0,0.0,0.0
2025-08-09 21:56:05,6.7,7.4,0.0,88.59,0.0,3.13,3.13,0.0,0.0,0.0
2025-08-09 21:56:06,4.1,7.4,0.0,88.59,0.0,0.92,0.92,0.0,0.0,0.0
2025-08-09 21:56:07,4.9,7.4,0.0,88.59,0.0,2.25,2.25,0.0,0.0,0.0
2025-08-09 21:56:08,5.9,7.4,0.0,88.59,0.0,1.32,1.32,0.0,0.0,0.01
2025-08-09 21:56:09,5.4,7.4,0.0,88.59,0.0,1.88,1.88,0.0,0.0,0.0
2025-08-09 21:56:10,4.1,7.4,0.0,88.59,0.0,1.23,1.23,0.0,0.0,0.01
2025-08-09 21:56:11,4.4,7.4,0.0,88.59,0.0,1.66,1.66,0.0,0.0,0.0
2025-08-09 21:56:12,4.1,7.4,0.0,88.59,0.0,1.27,1.27,0.01,0.01,0.02
2025-08-09 21:56:13,4.2,7.4,0.0,88.59,0.0,1.76,1.76,0.03,0.03,0.05
2025-08-09 21:56:14,4.8,7.4,0.0,88.59,0.0,8.14,8.14,0.01,0.0,0.01
2025-08-09 21:56:15,3.5,7.4,0.0,88.59,0.0,1.59,1.59,0.0,0.0,0.0
2025-08-09 21:56:16,4.8,7.4,0.0,88.59,0.0,1.1,1.1,0.0,0.0,0.0
2025-08-09 21:56:17,7.8,7.4,0.0,88.59,0.0,2.09,2.09,0.0,0.0,0.01
2025-08-09 21:56:18,5.1,7.4,0.0,88.59,0.0,0.48,0.48,0.0,0.0,0.0
2025-08-09 21:56:19,4.7,7.4,0.0,88.59,0.0,2.82,2.82,0.0,0.0,0.01
2025-08-09 21:56:20,3.9,7.4,0.0,88.59,0.0,1.06,1.06,0.0,0.0,0.0
2025-08-09 21:56:21,4.5,7.4,0.0,88.59,0.0,2.0,2.0,0.0,0.0,0.01
2025-08-09 21:56:22,4.8,7.4,0.0,88.59,0.0,1.63,1.63,0.0,0.0,0.0
2025-08-09 21:56:23,3.9,7.4,0.0,88.59,0.0,1.47,1.47,0.0,0.0,0.0
2025-08-09 21:56:24,4.8,7.4,0.0,88.59,0.0,0.22,0.22,0.0,0.0,0.01
2025-08-09 21:56:25,4.3,7.4,0.0,88.59,0.0,2.3,2.3,0.0,0.0,0.0
2025-08-09 21:56:26,5.9,7.4,0.0,88.59,0.0,1.0,1.0,0.0,0.0,0.01
2025-08-09 21:56:27,5.2,7.4,0.0,88.59,0.0,2.52,2.52,0.0,0.0,0.0
2025-08-09 21:56:28,5.4,7.4,0.0,88.59,0.0,0.61,0.61,0.0,0.0,0.0
2025-08-09 21:56:29,5.2,7.4,0.0,88.59,0.0,0.78,0.78,0.0,0.0,0.0
2025-08-09 21:56:30,5.3,7.4,0.0,88.59,0.0,1.83,1.83,0.0,0.0,0.0
2025-08-09 21:56:31,4.3,7.4,0.0,88.59,0.0,0.85,0.85,0.0,0.0,0.01
2025-08-09 21:56:32,5.0,7.4,0.0,88.59,0.0,2.01,2.01,0.0,0.0,0.0
2025-08-09 21:56:33,4.8,7.4,0.0,88.59,0.0,0.92,0.92,0.0,0.0,0.0
2025-08-09 21:56:34,5.7,7.4,0.0,88.59,0.0,1.51,1.51,0.0,0.0,0.0
2025-08-09 21:56:35,6.8,7.4,0.0,88.59,0.0,0.87,0.87,0.0,0.0,0.0
2025-08-09 21:56:36,7.2,7.4,0.0,88.59,0.0,1.62,1.62,0.0,0.0,0.0
2025-08-09 21:56:37,5.8,7.4,0.0,88.59,0.0,0.97,0.97,0.0,0.0,0.0
2025-08-09 21:56:38,6.4,7.4,0.0,88.59,0.0,2.61,2.61,0.0,0.0,0.0
2025-08-09 21:56:39,4.4,7.4,0.0,88.59,0.0,0.77,0.77,0.0,0.0,0.0
2025-08-09 21:56:40,5.5,7.4,0.0,88.59,0.0,1.85,1.85,0.0,0.0,0.0
2025-08-09 21:56:41,4.7,7.4,0.0,88.59,0.0,0.71,0.71,0.0,0.0,0.0
2025-08-09 21:56:42,4.7,7.4,0.0,88.59,0.0,1.99,1.99,0.0,0.0,0.0
2025-08-09 21:56:43,5.6,7.4,0.0,88.59,0.0,1.25,1.25,0.0,0.0,0.0
2025-08-09 21:56:44,6.9,7.4,0.0,88.59,0.0,7.47,7.47,0.0,0.0,0.0
2025-08-09 21:56:45,5.4,7.4,0.0,88.59,0.0,0.68,0.68,0.0,0.0,0.0
2025-08-09 21:56:46,5.3,7.4,0.0,88.59,0.0,1.81,1.81,0.0,0.0,0.0
2025-08-09 21:56:47,5.4,7.4,0.0,88.59,0.0,0.93,0.93,0.0,0.0,0.01
2025-08-09 21:56:48,4.9,7.4,0.0,88.59,0.0,2.43,2.43,0.0,0.0,0.0
2025-08-09 21:56:49,5.1,7.4,0.0,88.59,0.0,0.76,0.76,0.0,0.0,0.0
2025-08-09 21:56:50,4.7,7.4,0.0,88.59,0.0,2.02,2.02,0.0,0.0,0.0
2025-08-09 21:56:51,5.4,7.4,0.0,88.59,0.0,1.08,1.08,0.0,0.0,0.0
2025-08-09 21:56:52,4.9,7.4,0.0,88.59,0.0,1.97,1.97,0.0,0.0,0.01
2025-08-09 21:56:53,5.2,7.4,0.0,88.59,0.0,9.33,9.33,0.0,0.0,0.0
2025-08-09 21:56:54,4.9,7.4,0.0,88.59,0.0,1.77,1.77,0.0,0.0,0.0
2025-08-09 21:56:55,5.1,7.4,0.0,88.59,0.0,0.96,0.96,0.0,0.0,0.0
2025-08-09 21:56:56,4.9,7.4,0.0,88.59,0.0,1.81,1.81,0.0,0.0,0.0
2025-08-09 21:56:57,5.0,7.4,0.0,88.59,0.0,0.84,0.84,0.0,0.0,0.0
2025-08-09 21:56:58,5.2,7.4,0.0,88.59,0.0,1.98,1.98,0.0,0.0,0.0
2025-08-09 21:56:59,5.4,7.4,0.0,88.59,0.0,1.48,1.48,0.0,0.0,0.0
2025-08-09 21:57:00,4.2,7.4,0.0,88.59,0.0,1.64,1.64,0.0,0.0,0.0
2025-08-09 21:57:01,4.9,7.4,0.0,88.59,0.0,1.02,1.02,0.0,0.0,0.01
2025-08-09 21:57:02,4.7,7.4,0.0,88.59,0.0,1.63,1.63,0.0,0.0,0.0
2025-08-09 21:57:03,4.8,7.4,0.0,88.59,0.0,0.64,0.64,0.0,0.0,0.0
2025-08-09 21:57:04,4.7,7.4,0.0,88.59,0.0,2.24,2.24,0.0,0.0,0.0
