timestamp,cpu_percent,ram_percent,gpu_avg_util_percent,gpu_avg_mem_percent,disk_read_MBps,disk_write_MBps,disk_total_MBps,net_sent_MBps,net_recv_MBps,net_total_MBps
2025-08-02 14:10:02,3.1,3.0,0.0,0.85,0.0,0.16,0.16,0.0,0.0,0.01
2025-08-02 14:10:03,3.0,3.0,0.0,0.85,0.0,0.06,0.06,0.01,0.0,0.01
2025-08-02 14:10:04,3.5,3.0,0.0,0.85,0.0,1.12,1.12,0.01,0.0,0.01
2025-08-02 14:10:05,4.2,3.0,0.0,0.85,0.0,0.32,0.32,0.0,0.0,0.01
2025-08-02 14:10:06,3.6,3.0,0.0,0.85,0.0,0.34,0.34,0.0,0.0,0.01
2025-08-02 14:10:07,5.2,3.0,0.0,0.85,0.0,0.12,0.12,0.0,0.0,0.01
2025-08-02 14:10:08,5.6,3.0,0.0,0.85,0.0,0.31,0.31,0.04,0.08,0.12
2025-08-02 14:10:09,7.2,3.0,0.0,0.85,0.0,0.93,0.93,0.03,1.18,1.21
2025-08-02 14:10:10,7.8,3.1,0.0,0.85,0.0,0.32,0.32,0.03,0.03,0.06
2025-08-02 14:10:11,13.7,3.1,0.0,0.85,0.0,0.16,0.16,0.12,7.17,7.29
2025-08-02 14:10:12,14.7,3.1,0.0,0.85,0.0,0.45,0.45,8.09,5.67,13.76
2025-08-02 14:10:13,15.6,3.2,0.0,0.85,0.0,0.0,0.0,0.11,2.37,2.48
2025-08-02 14:10:14,17.1,3.2,0.0,0.85,0.0,1.09,1.09,4.45,4.99,9.44
2025-08-02 14:10:15,17.0,3.2,0.0,0.85,0.0,0.03,0.03,0.09,0.16,0.25
2025-08-02 14:10:16,20.3,3.2,0.0,0.85,0.0,0.45,0.45,0.65,1.68,2.33
2025-08-02 14:10:17,22.3,3.3,0.0,0.85,0.0,0.63,0.63,1.24,1.26,2.51
2025-08-02 14:10:18,21.2,3.2,0.0,0.85,0.0,0.0,0.0,2.2,1.52,3.72
2025-08-02 14:10:19,17.8,3.3,0.0,0.85,0.0,1.24,1.24,0.02,0.06,0.08
2025-08-02 14:10:20,18.9,3.3,0.0,0.85,0.0,0.04,0.04,0.06,0.08,0.15
2025-08-02 14:10:21,18.0,3.3,0.0,0.85,0.0,0.54,0.54,1.91,2.78,4.69
2025-08-02 14:10:22,18.0,3.3,0.0,0.85,0.0,0.21,0.21,0.92,0.06,0.99
2025-08-02 14:10:23,16.9,3.3,0.0,0.85,0.0,0.18,0.18,0.02,0.02,0.04
2025-08-02 14:10:24,12.8,3.2,0.0,0.85,0.0,1.44,1.44,1.48,1.31,2.79
2025-08-02 14:10:25,9.1,3.2,0.0,0.85,0.0,0.11,0.11,0.02,0.01,0.04
2025-08-02 14:10:26,7.9,3.2,0.0,0.85,0.0,0.99,0.99,0.01,0.01,0.03
2025-08-02 14:10:27,7.0,3.2,0.0,0.85,0.0,0.11,0.11,0.01,0.01,0.03
2025-08-02 14:10:28,7.0,3.2,6.0,77.65,0.0,0.0,0.0,0.01,0.01,0.03
2025-08-02 14:10:29,8.7,3.3,10.0,77.65,0.0,0.0,0.0,0.01,0.01,0.02
2025-08-02 14:10:30,7.1,3.3,12.0,77.65,0.0,1.07,1.07,0.01,0.01,0.02
2025-08-02 14:10:31,6.9,3.3,8.0,77.65,0.0,0.79,0.79,0.01,0.01,0.02
2025-08-02 14:10:32,9.8,3.4,10.0,77.65,0.0,0.91,0.91,0.01,0.01,0.02
2025-08-02 14:10:33,10.7,3.4,5.0,77.65,0.0,0.05,0.05,0.01,0.01,0.02
2025-08-02 14:10:34,8.7,3.3,10.0,77.65,0.0,0.05,0.05,0.01,0.01,0.02
2025-08-02 14:10:35,12.5,3.4,12.0,77.65,0.0,0.2,0.2,0.01,0.01,0.02
2025-08-02 14:10:36,8.3,3.4,10.0,77.65,0.0,0.47,0.47,0.01,0.01,0.02
2025-08-02 14:10:37,8.3,3.4,10.0,77.65,0.0,0.03,0.03,0.01,0.01,0.02
2025-08-02 14:10:38,8.3,3.4,10.0,77.65,0.0,0.07,0.07,0.01,0.01,0.02
2025-08-02 14:10:39,8.2,3.4,10.0,77.65,0.0,0.13,0.13,0.01,0.01,0.02
2025-08-02 14:10:40,8.9,3.4,4.0,77.65,0.0,32.6,32.6,0.01,0.01,0.02
2025-08-02 14:10:41,8.6,3.4,10.0,77.65,0.0,0.46,0.46,0.01,0.01,0.02
2025-08-02 14:10:42,8.1,3.4,13.0,77.65,0.0,0.17,0.17,0.01,0.01,0.02
2025-08-02 14:10:43,7.6,3.4,10.0,77.65,0.0,0.17,0.17,0.01,0.01,0.02
2025-08-02 14:10:44,9.5,3.4,13.0,77.65,0.0,0.38,0.38,0.01,0.01,0.02
2025-08-02 14:10:45,9.1,3.4,11.0,77.65,0.0,32.81,32.81,0.01,0.01,0.02
2025-08-02 14:10:46,8.0,3.4,13.0,77.65,0.0,0.15,0.15,0.01,0.01,0.02
2025-08-02 14:10:47,8.0,3.4,10.0,77.65,0.0,0.81,0.81,0.01,0.01,0.02
2025-08-02 14:10:48,7.9,3.4,12.0,77.65,0.0,0.17,0.17,0.01,0.01,0.02
2025-08-02 14:10:49,8.4,3.4,5.0,77.65,0.0,0.22,0.22,0.01,0.01,0.02
2025-08-02 14:10:50,7.9,3.4,11.0,77.65,0.0,0.27,0.27,0.01,0.01,0.02
2025-08-02 14:10:51,8.1,3.5,5.0,77.65,0.0,0.23,0.23,0.01,0.01,0.02
2025-08-02 14:10:52,8.2,3.4,11.0,77.65,0.0,0.6,0.6,0.07,0.06,0.14
2025-08-02 14:10:53,9.4,3.4,12.0,77.65,0.0,0.4,0.4,0.06,0.01,0.07
2025-08-02 14:10:54,9.5,3.4,10.0,77.65,0.0,0.08,0.08,0.01,0.01,0.02
2025-08-02 14:10:55,8.5,3.5,12.0,77.65,0.0,0.18,0.18,0.01,0.01,0.02
2025-08-02 14:10:56,8.2,3.5,12.0,77.65,0.0,0.04,0.04,0.01,0.01,0.02
2025-08-02 14:10:57,7.7,3.5,12.0,77.65,0.0,0.28,0.28,0.01,0.01,0.02
2025-08-02 14:10:58,7.9,3.5,11.0,77.65,0.0,0.4,0.4,0.01,0.01,0.02
2025-08-02 14:10:59,9.1,3.6,55.0,77.89,0.0,0.62,0.62,0.01,0.01,0.02
2025-08-02 14:11:00,8.0,3.6,62.0,77.91,0.0,0.14,0.14,0.01,0.01,0.02
2025-08-02 14:11:01,7.7,3.6,62.0,77.91,0.0,0.05,0.05,0.01,0.01,0.02
2025-08-02 14:11:02,8.0,3.6,62.0,77.91,0.0,2.2,2.2,0.01,0.01,0.02
2025-08-02 14:11:03,8.9,3.6,60.0,1.51,0.0,0.25,0.25,0.01,0.01,0.02
2025-08-02 14:11:04,9.8,3.6,100.0,1.51,0.0,0.05,0.05,0.04,0.06,0.09
2025-08-02 14:11:05,8.8,3.5,0.0,0.85,0.0,0.21,0.21,0.02,0.02,0.04
2025-08-02 14:11:06,9.4,3.5,0.0,0.85,0.0,0.13,0.13,0.96,0.03,0.99
2025-08-02 14:11:07,9.0,3.5,0.0,0.85,0.0,0.04,0.04,0.01,0.01,0.02
2025-08-02 14:11:08,7.9,3.5,0.0,0.85,0.0,0.04,0.04,0.02,0.02,0.04
2025-08-02 14:11:09,8.2,3.5,0.0,0.85,0.0,0.36,0.36,0.01,0.01,0.02
2025-08-02 14:11:10,8.0,3.5,0.0,0.85,0.0,0.0,0.0,0.02,0.01,0.03
2025-08-02 14:11:11,7.3,3.5,0.0,0.85,0.0,0.32,0.32,0.02,0.01,0.03
2025-08-02 14:11:12,7.3,3.5,0.0,0.85,0.0,0.07,0.07,0.01,0.01,0.02
2025-08-02 14:11:13,7.3,3.5,0.0,0.85,0.0,0.1,0.1,0.01,0.01,0.02
2025-08-02 14:11:14,7.8,3.5,0.0,0.85,0.0,0.41,0.41,0.01,0.01,0.02
2025-08-02 14:11:15,7.2,3.5,0.0,0.85,0.0,0.07,0.07,0.01,0.01,0.02
2025-08-02 14:11:16,7.7,3.5,0.0,0.85,0.0,0.26,0.26,0.01,0.01,0.02
2025-08-02 14:11:17,9.1,3.5,0.0,0.85,0.0,0.27,0.27,0.01,0.01,0.02
2025-08-02 14:11:18,7.5,3.5,0.0,0.85,0.0,0.0,0.0,0.01,0.01,0.02
2025-08-02 14:11:19,8.1,3.5,11.0,77.65,0.0,0.93,0.93,0.01,0.01,0.02
2025-08-02 14:11:20,7.5,3.5,12.0,77.65,0.0,0.07,0.07,0.01,0.01,0.02
2025-08-02 14:11:21,7.1,3.5,12.0,77.65,0.0,0.2,0.2,0.01,0.01,0.02
2025-08-02 14:11:22,7.9,3.5,12.0,77.65,0.0,0.03,0.03,0.01,0.01,0.02
2025-08-02 14:11:23,7.3,3.5,11.0,77.65,0.0,0.35,0.35,0.01,0.01,0.02
