timestamp,cpu_percent,ram_percent,gpu_avg_util_percent,gpu_avg_mem_percent,disk_read_MBps,disk_write_MBps,disk_total_MBps,net_sent_MBps,net_recv_MBps,net_total_MBps
2025-08-02 15:01:02,6.7,4.8,0.0,0.85,0.0,0.22,0.22,0.0,0.0,0.01
2025-08-02 15:01:03,7.8,4.8,0.0,0.85,0.0,0.9,0.9,0.0,0.0,0.01
2025-08-02 15:01:04,6.0,4.8,0.0,0.85,0.0,1.75,1.75,0.0,0.0,0.01
2025-08-02 15:01:05,6.9,4.8,0.0,0.85,0.0,0.91,0.91,0.0,0.0,0.01
2025-08-02 15:01:06,7.2,4.8,0.0,0.85,0.0,2.3,2.3,0.0,0.0,0.01
2025-08-02 15:01:07,6.3,4.8,0.0,0.85,0.0,1.12,1.12,0.01,0.01,0.01
2025-08-02 15:01:08,6.7,4.8,0.0,0.85,0.0,1.68,1.68,0.01,0.03,0.04
2025-08-02 15:01:09,6.7,4.8,0.0,0.85,0.0,0.89,0.89,0.02,4.82,4.84
2025-08-02 15:01:10,9.4,4.8,0.0,0.85,0.0,1.91,1.91,2.46,2.33,4.79
2025-08-02 15:01:11,6.4,4.9,0.0,0.85,0.0,1.82,1.82,0.06,0.55,0.61
2025-08-02 15:01:12,10.1,4.9,0.0,0.85,0.0,1.96,1.96,0.55,0.58,1.13
2025-08-02 15:01:13,5.3,4.9,0.0,0.85,0.0,1.2,1.2,0.08,1.08,1.15
2025-08-02 15:01:14,9.6,4.9,0.0,0.85,0.0,1.89,1.89,0.09,2.31,2.4
2025-08-02 15:01:15,8.6,4.9,0.0,0.85,0.0,5.3,5.3,0.13,2.18,2.32
2025-08-02 15:01:16,10.0,4.9,0.0,0.85,0.0,2.74,2.74,2.76,1.06,3.82
2025-08-02 15:01:17,7.9,4.9,0.0,0.85,0.0,1.11,1.11,0.07,0.09,0.15
2025-08-02 15:01:18,5.1,4.9,0.0,0.85,0.0,1.87,1.87,0.53,1.27,1.8
2025-08-02 15:01:19,7.0,4.9,0.0,0.85,0.0,1.17,1.17,0.07,0.07,0.14
2025-08-02 15:01:20,5.5,4.9,0.0,0.85,0.0,1.92,1.92,0.04,0.08,0.13
2025-08-02 15:01:21,4.3,4.9,0.0,0.85,0.0,1.51,1.51,0.8,0.79,1.6
2025-08-02 15:01:22,4.2,4.9,0.0,0.85,0.0,1.99,1.99,0.05,0.04,0.09
2025-08-02 15:01:23,3.2,4.7,0.0,0.85,0.0,0.93,0.93,0.5,0.73,1.23
2025-08-02 15:01:24,3.4,4.7,0.0,0.85,0.0,1.78,1.78,0.02,0.01,0.03
2025-08-02 15:01:25,3.8,4.7,0.0,0.85,0.0,0.87,0.87,0.8,0.79,1.59
2025-08-02 15:01:26,2.7,4.7,0.0,77.65,0.0,2.07,2.07,0.02,0.01,0.03
2025-08-02 15:01:27,2.3,4.8,13.0,77.66,0.0,1.14,1.14,0.01,0.01,0.02
2025-08-02 15:01:28,2.5,4.8,10.0,77.66,0.0,1.65,1.65,0.01,0.01,0.02
2025-08-02 15:01:29,2.7,4.8,13.0,77.66,0.0,0.99,0.99,0.01,0.01,0.02
2025-08-02 15:01:30,2.0,4.8,13.0,77.66,0.0,1.53,1.53,0.01,0.01,0.02
2025-08-02 15:01:31,2.7,4.8,13.0,77.66,0.0,1.93,1.93,0.01,0.01,0.02
2025-08-02 15:01:32,2.1,4.8,13.0,77.66,0.0,1.77,1.77,0.01,0.01,0.02
2025-08-02 15:01:33,3.9,4.8,10.0,77.66,0.0,8.59,8.59,0.01,0.01,0.02
2025-08-02 15:01:34,2.2,4.8,13.0,77.66,0.0,1.78,1.78,0.01,0.01,0.02
2025-08-02 15:01:35,3.2,4.8,13.0,77.66,0.0,1.22,1.22,0.01,0.01,0.02
2025-08-02 15:01:36,2.6,4.8,13.0,77.66,0.0,2.04,2.04,0.01,0.01,0.02
2025-08-02 15:01:37,3.0,4.8,13.0,77.66,0.0,1.33,1.33,0.01,0.01,0.02
2025-08-02 15:01:38,2.8,4.8,13.0,77.66,0.0,1.54,1.54,0.01,0.01,0.02
2025-08-02 15:01:39,2.8,4.8,13.0,77.66,0.0,0.53,0.53,0.01,0.01,0.02
2025-08-02 15:01:40,2.4,4.8,7.0,77.66,0.0,2.32,2.32,0.01,0.01,0.02
2025-08-02 15:01:41,2.7,4.8,13.0,77.66,0.0,1.36,1.36,0.01,0.01,0.02
2025-08-02 15:01:42,2.0,4.8,13.0,77.66,0.0,0.42,0.42,0.01,0.01,0.02
2025-08-02 15:01:43,2.5,4.8,13.0,77.66,0.0,1.79,1.79,0.01,0.01,0.02
2025-08-02 15:01:44,2.5,4.8,13.0,77.66,0.0,0.95,0.95,0.01,0.01,0.02
2025-08-02 15:01:45,3.3,4.8,12.0,77.66,0.0,1.84,1.84,0.01,0.01,0.02
2025-08-02 15:01:46,4.1,4.8,13.0,77.66,0.0,7.42,7.42,0.01,0.01,0.02
2025-08-02 15:01:47,3.8,4.8,12.0,77.66,0.0,2.9,2.9,0.01,0.01,0.02
2025-08-02 15:01:48,2.3,4.8,13.0,77.66,0.0,0.79,0.79,0.01,0.01,0.02
2025-08-02 15:01:49,3.2,4.8,13.0,77.66,0.0,1.81,1.81,0.01,0.01,0.02
2025-08-02 15:01:50,4.3,4.8,82.0,78.2,0.0,0.93,0.93,0.01,0.01,0.02
2025-08-02 15:01:51,4.2,4.8,72.0,78.21,0.0,1.6,1.6,0.01,0.01,0.01
2025-08-02 15:01:52,3.7,4.8,72.0,78.21,0.0,2.22,2.22,0.01,0.01,0.02
2025-08-02 15:01:53,3.4,4.8,72.0,78.21,0.0,2.17,2.17,0.01,0.01,0.01
2025-08-02 15:01:54,2.0,4.8,74.0,78.21,0.0,0.7,0.7,0.01,0.01,0.02
2025-08-02 15:01:55,3.3,4.8,73.0,78.21,0.0,2.02,2.02,0.01,0.01,0.02
2025-08-02 15:01:56,2.0,4.8,75.0,78.21,0.0,0.68,0.68,0.01,0.01,0.01
2025-08-02 15:01:57,2.5,4.8,74.0,78.21,0.0,1.91,1.91,0.01,0.01,0.02
2025-08-02 15:01:58,2.6,4.8,74.0,78.21,0.0,1.07,1.07,0.01,0.01,0.01
2025-08-02 15:01:59,4.9,4.8,74.0,78.21,0.0,2.07,2.07,0.01,0.01,0.02
2025-08-02 15:02:00,4.1,4.8,75.0,78.21,0.0,0.94,0.94,0.01,0.01,0.01
