timestamp,cpu_percent,ram_percent,gpu_avg_util_percent,gpu_avg_mem_percent,disk_read_MBps,disk_write_MBps,disk_total_MBps,net_sent_MBps,net_recv_MBps,net_total_MBps
2025-08-02 16:40:23,4.2,4.8,0.0,0.85,0.0,1.54,1.54,0.01,0.01,0.01
2025-08-02 16:40:24,5.2,4.8,0.0,0.85,0.0,6.74,6.74,0.01,0.01,0.02
2025-08-02 16:40:25,4.2,4.8,0.0,0.85,0.0,0.79,0.79,0.0,0.0,0.01
2025-08-02 16:40:26,4.7,4.8,0.0,0.85,0.0,1.88,1.88,0.01,0.0,0.01
2025-08-02 16:40:27,3.8,4.8,0.0,0.85,0.0,0.77,0.77,0.0,0.0,0.01
2025-08-02 16:40:28,4.5,4.8,0.0,0.85,0.0,6.84,6.84,0.0,0.0,0.01
2025-08-02 16:40:29,4.1,4.8,0.0,0.85,0.0,9.78,9.78,0.01,0.0,0.01
2025-08-02 16:40:30,4.6,4.8,0.0,0.85,0.0,31.64,31.64,0.0,0.0,0.01
2025-08-02 16:40:31,3.8,4.8,0.0,0.85,0.0,4.18,4.18,0.0,0.0,0.01
2025-08-02 16:40:32,4.6,4.8,0.0,0.85,0.0,1.68,1.68,0.0,0.0,0.01
2025-08-02 16:40:33,3.9,4.8,0.0,0.85,0.0,28.99,28.99,0.0,0.0,0.01
2025-08-02 16:40:34,4.1,4.8,0.0,0.85,0.0,2.08,2.08,0.0,0.0,0.01
2025-08-02 16:40:35,6.5,4.8,0.0,0.85,0.0,5.95,5.95,0.0,0.0,0.01
2025-08-02 16:40:36,4.3,4.8,0.0,0.85,0.0,1.68,1.68,0.01,0.0,0.01
2025-08-02 16:40:37,5.0,4.8,0.0,0.85,0.0,0.89,0.89,0.0,0.0,0.01
2025-08-02 16:40:38,4.3,4.8,0.0,0.85,0.0,1.86,1.86,0.0,0.0,0.01
2025-08-02 16:40:39,4.1,4.8,0.0,0.85,0.0,1.59,1.59,0.0,0.0,0.01
2025-08-02 16:40:40,5.6,4.8,0.0,0.85,0.0,1.75,1.75,0.0,0.0,0.01
2025-08-02 16:40:41,3.8,4.9,0.0,0.85,0.0,0.84,0.84,0.0,0.0,0.01
2025-08-02 16:40:42,4.1,4.9,0.0,0.85,0.0,1.75,1.75,0.0,0.0,0.01
2025-08-02 16:40:43,3.9,4.9,0.0,0.85,0.0,0.77,0.77,0.01,0.01,0.02
2025-08-02 16:40:44,5.0,4.9,0.0,0.85,0.0,6.47,6.47,0.01,0.01,0.02
2025-08-02 16:40:45,5.3,4.9,0.0,0.85,0.0,0.84,0.84,0.05,2.29,2.34
