timestamp,cpu_percent,ram_percent,gpu_avg_util_percent,gpu_avg_mem_percent,disk_read_MBps,disk_write_MBps,disk_total_MBps,net_sent_MBps,net_recv_MBps,net_total_MBps
2025-08-02 17:50:08,3.7,5.8,0.0,0.85,0.0,0.62,0.62,0.01,0.01,0.01
2025-08-02 17:50:09,3.1,5.8,0.0,0.85,0.0,2.17,2.17,0.01,0.01,0.01
2025-08-02 17:50:10,4.0,5.8,0.0,0.85,0.0,1.2,1.2,0.01,0.01,0.02
2025-08-02 17:50:11,2.9,5.8,0.0,0.85,0.0,0.2,0.2,0.0,0.0,0.01
2025-08-02 17:50:12,4.5,5.8,0.0,0.85,0.0,17.86,17.86,0.0,0.0,0.01
2025-08-02 17:50:13,3.4,5.8,0.0,0.85,0.0,1.07,1.07,0.0,0.0,0.01
2025-08-02 17:50:14,3.6,5.8,0.0,0.85,0.0,2.33,2.33,0.0,0.0,0.01
2025-08-02 17:50:15,2.8,5.8,0.0,0.85,0.0,0.76,0.76,0.01,0.0,0.01
2025-08-02 17:50:16,4.7,5.8,0.0,0.85,0.0,1.7,1.7,0.0,0.0,0.01
2025-08-02 17:50:17,3.4,5.8,0.0,0.85,0.0,1.19,1.19,0.0,0.0,0.01
2025-08-02 17:50:18,4.8,5.8,0.0,0.85,0.0,1.63,1.63,0.0,0.0,0.01
2025-08-02 17:50:19,7.3,5.8,0.0,0.85,0.0,1.32,1.32,0.0,0.0,0.01
2025-08-02 17:50:20,8.3,5.8,0.0,0.85,0.0,1.84,1.84,0.0,0.0,0.01
2025-08-02 17:50:21,6.8,5.8,0.0,0.85,0.0,1.01,1.01,0.0,0.0,0.01
2025-08-02 17:50:22,8.1,5.8,0.0,0.85,0.0,1.5,1.5,0.0,0.0,0.01
2025-08-02 17:50:23,6.8,5.8,0.0,0.85,0.0,1.76,1.76,0.01,0.0,0.01
2025-08-02 17:50:24,7.7,5.8,0.0,0.85,0.0,2.17,2.17,0.0,0.0,0.01
2025-08-02 17:50:25,7.8,5.8,0.0,0.85,0.0,1.0,1.0,0.05,1.23,1.28
2025-08-02 17:50:26,8.0,5.8,0.0,0.85,0.0,1.79,1.79,3.57,4.85,8.42
2025-08-02 17:50:27,8.1,5.8,0.0,0.85,0.0,1.03,1.03,0.01,0.02,0.04
2025-08-02 17:50:28,9.9,5.8,0.0,0.85,0.0,2.26,2.26,3.44,4.42,7.86
2025-08-02 17:50:29,9.7,5.8,0.0,0.85,0.0,1.33,1.33,1.2,1.74,2.93
2025-08-02 17:50:30,4.7,5.8,0.0,0.85,0.0,2.27,2.27,0.56,0.03,0.58
2025-08-02 17:50:31,4.2,5.8,0.0,0.85,0.0,0.99,0.99,0.01,0.01,0.02
2025-08-02 17:50:32,4.7,5.8,0.0,0.85,0.0,1.74,1.74,0.56,0.57,1.12
2025-08-02 17:50:33,4.9,5.8,0.0,0.85,0.0,1.88,1.88,0.02,0.05,0.07
2025-08-02 17:50:34,6.7,5.8,0.0,0.85,0.0,1.75,1.75,1.2,2.3,3.5
2025-08-02 17:50:35,6.1,5.8,0.0,0.85,0.0,1.06,1.06,1.14,0.03,1.17
2025-08-02 17:50:36,4.2,5.8,0.0,0.85,0.0,1.73,1.73,0.01,0.01,0.02
2025-08-02 17:50:37,4.6,5.8,0.0,0.85,0.0,0.78,0.78,0.01,0.03,0.04
2025-08-02 17:50:38,5.0,5.9,0.0,0.85,0.0,1.95,1.95,0.01,0.01,0.01
2025-08-02 17:50:39,5.0,5.8,0.0,0.85,0.0,2.18,2.18,0.01,0.01,0.01
2025-08-02 17:50:40,4.9,5.9,0.0,0.85,0.0,2.36,2.36,1.18,0.03,1.21
2025-08-02 17:50:41,5.3,5.9,0.0,0.85,0.0,0.84,0.84,0.04,0.03,0.08
2025-08-02 17:50:42,8.4,5.9,0.0,0.85,0.0,2.02,2.02,0.01,0.01,0.02
2025-08-02 17:50:43,10.3,5.9,4.0,79.26,0.0,7.26,7.26,0.01,0.01,0.01
2025-08-02 17:50:44,10.6,5.9,4.0,79.26,0.0,1.65,1.65,0.01,0.01,0.01
2025-08-02 17:50:45,10.0,6.0,0.0,79.26,0.0,1.23,1.23,0.01,0.01,0.01
2025-08-02 17:50:46,8.4,6.0,8.0,79.26,0.0,1.88,1.88,0.01,0.01,0.01
2025-08-02 17:50:47,9.3,5.9,9.0,79.26,0.0,0.22,0.22,0.01,0.01,0.01
2025-08-02 17:50:48,9.2,5.9,0.0,79.26,0.0,2.23,2.23,0.01,0.01,0.01
2025-08-02 17:50:49,9.0,5.9,6.0,79.26,0.0,0.47,0.47,0.01,0.01,0.01
2025-08-02 17:50:50,12.1,5.9,1.0,79.26,0.0,2.7,2.7,0.01,0.01,0.01
2025-08-02 17:50:51,9.9,5.9,6.0,79.26,0.0,0.42,0.42,0.01,0.01,0.01
2025-08-02 17:50:52,8.9,5.9,6.0,79.26,0.0,2.09,2.09,0.01,0.01,0.01
2025-08-02 17:50:53,6.0,5.9,0.0,79.26,0.0,0.59,0.59,0.01,0.01,0.01
2025-08-02 17:50:54,4.7,5.9,1.0,79.26,0.0,1.78,1.78,0.01,0.01,0.01
2025-08-02 17:50:55,5.2,5.9,6.0,79.26,0.0,1.54,1.54,0.01,0.01,0.01
2025-08-02 17:50:56,3.8,5.9,6.0,79.26,0.0,2.47,2.47,0.01,0.01,0.01
