timestamp,cpu_percent,ram_percent,gpu_avg_util_percent,gpu_avg_mem_percent,disk_read_MBps,disk_write_MBps,disk_total_MBps,net_sent_MBps,net_recv_MBps,net_total_MBps
2025-08-02 15:40:27,2.9,3.0,0.0,0.85,0.0,0.18,0.18,0.01,0.01,0.01
2025-08-02 15:40:28,3.2,3.0,0.0,0.85,0.0,0.21,0.21,0.01,0.01,0.02
2025-08-02 15:40:29,3.7,3.0,0.0,0.85,0.0,0.16,0.16,0.0,0.0,0.01
2025-08-02 15:40:30,3.1,3.0,0.0,0.85,0.0,0.29,0.29,0.01,0.0,0.01
2025-08-02 15:40:31,2.9,3.0,0.0,0.85,0.0,1.94,1.94,0.0,0.0,0.01
2025-08-02 15:40:32,2.8,3.0,0.0,0.85,0.0,0.14,0.14,0.0,0.0,0.01
2025-08-02 15:40:33,3.3,3.0,0.0,0.85,0.0,0.27,0.27,0.0,0.0,0.01
2025-08-02 15:40:34,4.2,3.0,0.0,0.85,0.0,0.06,0.06,0.0,0.0,0.01
2025-08-02 15:40:35,4.1,3.0,0.0,0.85,0.0,0.23,0.23,0.0,0.0,0.01
2025-08-02 15:40:36,5.2,3.0,0.0,0.85,0.0,1.76,1.76,0.01,0.02,0.02
2025-08-02 15:40:37,6.3,3.0,0.0,0.85,0.0,0.05,0.05,0.05,0.06,0.11
2025-08-02 15:40:38,7.5,3.0,0.0,0.85,0.0,0.7,0.7,0.17,2.37,2.55
2025-08-02 15:40:39,14.0,3.1,0.0,0.85,0.0,0.41,0.41,2.25,0.97,3.23
2025-08-02 15:40:40,14.7,3.1,0.0,0.85,0.0,0.19,0.19,0.1,0.15,0.25
2025-08-02 15:40:41,20.9,3.2,0.0,0.85,0.0,0.41,0.41,0.03,0.07,0.1
2025-08-02 15:40:42,18.7,3.2,0.0,0.85,0.0,0.13,0.13,0.54,0.54,1.08
2025-08-02 15:40:43,19.7,3.2,0.0,0.85,0.0,0.0,0.0,0.97,2.24,3.21
2025-08-02 15:40:44,20.8,3.2,0.0,0.85,0.0,0.31,0.31,0.03,0.06,0.09
2025-08-02 15:40:45,15.4,3.2,0.0,0.85,0.0,0.3,0.3,0.02,0.03,0.05
2025-08-02 15:40:46,13.1,3.2,0.0,0.85,0.0,0.63,0.63,0.07,1.26,1.33
2025-08-02 15:40:47,21.7,3.3,0.0,0.85,0.0,0.14,0.14,0.08,0.15,0.23
2025-08-02 15:40:48,18.7,3.3,0.0,0.85,0.0,0.05,0.05,0.8,0.49,1.29
2025-08-02 15:40:49,17.0,3.3,0.0,0.85,0.0,0.07,0.07,0.7,0.37,1.07
2025-08-02 15:40:50,14.6,3.3,0.0,0.85,0.0,0.24,0.24,1.11,1.12,2.23
2025-08-02 15:40:51,13.6,3.3,0.0,0.85,0.0,0.87,0.87,0.03,0.05,0.09
2025-08-02 15:40:52,12.2,3.3,0.0,0.85,0.0,0.04,0.04,0.79,0.79,1.57
2025-08-02 15:40:53,10.3,3.2,0.0,0.85,0.0,0.0,0.0,0.52,0.34,0.86
2025-08-02 15:40:54,9.7,3.2,0.0,0.85,0.0,0.12,0.12,0.01,0.01,0.03
2025-08-02 15:40:55,7.6,3.3,4.0,77.65,0.0,0.06,0.06,0.01,0.01,0.02
2025-08-02 15:40:56,7.4,3.3,3.0,77.65,0.0,0.93,0.93,0.01,0.01,0.02
2025-08-02 15:40:57,9.0,3.3,7.0,77.65,0.0,0.17,0.17,0.01,0.01,0.02
2025-08-02 15:40:58,7.6,3.3,6.0,77.65,0.0,0.18,0.18,0.01,0.01,0.02
2025-08-02 15:40:59,8.7,3.3,6.0,77.65,0.0,0.04,0.04,0.01,0.01,0.02
2025-08-02 15:41:00,7.8,3.3,6.0,77.65,0.0,0.16,0.16,0.01,0.01,0.02
2025-08-02 15:41:01,7.4,3.3,7.0,77.65,0.0,0.28,0.28,0.01,0.01,0.02
2025-08-02 15:41:02,8.1,3.3,6.0,77.65,0.0,0.18,0.18,0.01,0.01,0.02
2025-08-02 15:41:03,8.7,3.3,6.0,77.65,0.0,0.39,0.39,0.01,0.01,0.01
2025-08-02 15:41:04,9.4,3.3,6.0,77.65,0.0,0.28,0.28,0.01,0.01,0.02
2025-08-02 15:41:05,8.2,3.3,12.0,77.65,0.0,0.0,0.0,0.01,0.01,0.02
2025-08-02 15:41:06,8.0,3.3,6.0,77.65,0.0,0.02,0.02,0.01,0.01,0.02
2025-08-02 15:41:07,8.0,3.3,6.0,77.65,0.0,0.49,0.49,0.01,0.01,0.02
2025-08-02 15:41:08,7.5,3.3,10.0,77.65,0.0,0.21,0.21,0.01,0.01,0.01
2025-08-02 15:41:09,8.0,3.3,7.0,77.65,0.0,2.67,2.67,0.01,0.01,0.01
2025-08-02 15:41:10,7.5,3.3,6.0,77.65,0.0,0.28,0.28,0.01,0.01,0.02
2025-08-02 15:41:11,8.2,3.3,7.0,77.65,0.0,0.33,0.33,0.01,0.01,0.02
2025-08-02 15:41:12,7.5,3.3,7.0,77.65,0.0,0.65,0.65,0.01,0.01,0.02
2025-08-02 15:41:13,8.1,3.3,6.0,77.65,0.0,0.17,0.17,0.01,0.01,0.01
2025-08-02 15:41:14,8.9,3.3,7.0,77.65,0.0,0.05,0.05,0.01,0.01,0.02
2025-08-02 15:41:15,8.1,3.3,4.0,77.65,0.0,0.28,0.28,0.01,0.01,0.02
2025-08-02 15:41:16,9.1,3.3,6.0,77.65,0.0,0.24,0.24,0.01,0.01,0.02
2025-08-02 15:41:17,8.0,3.3,6.0,77.65,0.0,0.83,0.83,0.01,0.01,0.01
2025-08-02 15:41:18,7.9,3.3,10.0,77.65,0.0,0.24,0.24,0.01,0.01,0.02
2025-08-02 15:41:19,9.5,3.3,7.0,77.65,0.0,0.14,0.14,0.01,0.01,0.01
2025-08-02 15:41:20,8.0,3.3,6.0,77.65,0.0,0.12,0.12,0.01,0.01,0.02
2025-08-02 15:41:21,8.3,3.3,7.0,77.65,0.0,0.15,0.15,0.01,0.01,0.01
2025-08-02 15:41:22,8.2,3.3,6.0,77.65,0.0,0.14,0.14,0.01,0.01,0.02
2025-08-02 15:41:23,8.0,3.4,6.0,77.65,0.0,0.49,0.49,0.01,0.01,0.01
2025-08-02 15:41:24,8.0,3.4,6.0,77.65,0.0,0.05,0.05,0.01,0.01,0.01
2025-08-02 15:41:25,8.2,3.4,6.0,77.65,0.0,0.09,0.09,0.01,0.01,0.02
2025-08-02 15:41:26,8.4,3.4,6.0,77.65,0.0,0.05,0.05,0.01,0.01,0.01
2025-08-02 15:41:27,7.6,3.4,6.0,77.65,0.0,0.19,0.19,0.01,0.01,0.01
2025-08-02 15:41:28,8.3,3.4,11.0,77.65,0.0,0.21,0.21,0.01,0.01,0.01
2025-08-02 15:41:29,9.4,3.4,6.0,77.65,0.0,0.19,0.19,0.01,0.01,0.01
2025-08-02 15:41:30,9.0,3.4,6.0,77.65,0.0,0.15,0.15,0.01,0.01,0.01
2025-08-02 15:41:31,7.8,3.4,7.0,77.65,0.0,0.34,0.34,0.01,0.01,0.02
2025-08-02 15:41:32,7.8,3.4,6.0,77.65,0.0,0.14,0.14,0.01,0.01,0.02
2025-08-02 15:41:33,8.8,3.4,7.0,77.65,0.0,0.18,0.18,0.01,0.01,0.01
2025-08-02 15:41:34,8.9,3.4,7.0,77.65,0.0,0.12,0.12,0.01,0.01,0.01
2025-08-02 15:41:35,7.6,3.4,7.0,77.65,0.0,0.24,0.24,0.01,0.01,0.01
2025-08-02 15:41:36,7.4,3.4,6.0,77.65,0.0,0.15,0.15,0.01,0.01,0.02
2025-08-02 15:41:37,8.5,3.4,6.0,77.65,0.0,0.33,0.33,0.01,0.01,0.02
2025-08-02 15:41:38,9.0,3.4,6.0,77.65,0.0,0.12,0.12,0.01,0.01,0.01
2025-08-02 15:41:39,8.8,3.4,9.0,77.65,0.0,1.26,1.26,0.01,0.01,0.01
2025-08-02 15:41:40,8.2,3.5,100.0,78.33,0.0,0.12,0.12,0.01,0.01,0.01
2025-08-02 15:41:41,7.4,3.5,69.0,78.34,0.0,0.18,0.18,0.01,0.01,0.02
2025-08-02 15:41:42,9.3,3.5,69.0,78.34,0.0,0.42,0.42,0.01,0.01,0.02
2025-08-02 15:41:43,8.8,3.5,70.0,78.34,0.0,0.15,0.15,0.01,0.0,0.01
2025-08-02 15:41:44,9.2,3.5,70.0,78.34,0.0,0.04,0.04,0.01,0.01,0.02
2025-08-02 15:41:45,8.8,3.5,70.0,78.34,0.0,0.12,0.12,0.01,0.01,0.02
2025-08-02 15:41:46,8.6,3.5,70.0,78.34,0.0,0.07,0.07,0.01,0.01,0.02
2025-08-02 15:41:47,10.0,3.5,69.0,78.34,0.0,0.42,0.42,0.01,0.01,0.01
2025-08-02 15:41:48,8.7,3.5,70.0,78.34,0.0,0.08,0.08,0.01,0.01,0.01
2025-08-02 15:41:49,9.1,3.5,69.0,78.34,0.0,0.19,0.19,0.01,0.01,0.02
2025-08-02 15:41:50,7.5,3.5,70.0,78.34,0.0,0.13,0.13,0.01,0.01,0.01
2025-08-02 15:41:51,7.9,3.6,68.0,78.34,0.0,0.12,0.12,0.01,0.01,0.02
2025-08-02 15:41:52,10.1,3.5,69.0,78.34,0.0,0.41,0.41,0.01,0.01,0.01
2025-08-02 15:41:53,10.4,3.5,70.0,78.34,0.0,0.1,0.1,0.01,0.01,0.01
2025-08-02 15:41:54,9.7,3.5,70.0,78.34,0.0,0.39,0.39,0.01,0.01,0.02
2025-08-02 15:41:55,9.4,3.5,69.0,78.34,0.0,0.21,0.21,0.01,0.01,0.02
2025-08-02 15:41:56,7.6,3.5,70.0,78.34,0.0,0.16,0.16,0.01,0.01,0.01
2025-08-02 15:41:57,7.7,3.5,70.0,78.34,0.0,0.03,0.03,0.01,0.01,0.01
2025-08-02 15:41:58,7.6,3.5,71.0,78.34,0.0,0.03,0.03,0.01,0.01,0.01
2025-08-02 15:41:59,8.8,3.5,68.0,78.34,0.0,0.35,0.35,0.01,0.01,0.01
2025-08-02 15:42:00,7.6,3.6,70.0,78.34,0.0,0.03,0.03,0.01,0.01,0.01
2025-08-02 15:42:01,7.5,3.5,70.0,78.34,0.0,0.19,0.19,0.01,0.01,0.01
2025-08-02 15:42:02,7.6,3.5,70.0,78.34,0.0,0.0,0.0,0.01,0.01,0.01
2025-08-02 15:42:03,8.4,3.5,70.0,78.34,0.0,0.21,0.21,0.01,0.01,0.01
2025-08-02 15:42:04,8.5,3.5,70.0,78.34,0.0,0.3,0.3,0.01,0.01,0.01
2025-08-02 15:42:05,7.7,3.5,71.0,78.34,0.0,0.06,0.06,0.01,0.01,0.02
2025-08-02 15:42:06,7.1,3.5,70.0,78.34,0.0,0.16,0.16,0.01,0.01,0.01
2025-08-02 15:42:07,6.9,3.5,70.0,78.34,0.0,0.04,0.04,0.01,0.01,0.01
2025-08-02 15:42:08,6.7,3.5,71.0,78.34,0.0,0.16,0.16,0.01,0.01,0.02
2025-08-02 15:42:09,6.8,3.5,71.0,78.34,0.0,0.17,0.17,0.01,0.01,0.02
2025-08-02 15:42:10,6.9,3.5,70.0,78.34,0.0,1.68,1.68,0.01,0.01,0.01
2025-08-02 15:42:11,7.5,3.5,71.0,78.34,0.0,0.23,0.23,0.01,0.01,0.01
2025-08-02 15:42:12,6.7,3.5,71.0,78.34,0.0,0.05,0.05,0.01,0.01,0.01
2025-08-02 15:42:13,6.9,3.5,72.0,78.34,0.0,0.07,0.07,0.01,0.01,0.01
2025-08-02 15:42:14,9.4,3.5,72.0,78.34,0.0,0.32,0.32,0.01,0.01,0.01
2025-08-02 15:42:15,9.6,3.5,71.0,78.34,0.0,0.03,0.03,0.01,0.01,0.01
2025-08-02 15:42:16,6.9,3.5,72.0,78.34,0.0,0.5,0.5,0.01,0.01,0.02
2025-08-02 15:42:17,7.4,3.5,72.0,78.34,0.0,0.38,0.38,0.01,0.01,0.01
2025-08-02 15:42:18,7.1,3.5,72.0,78.34,0.0,0.03,0.03,0.01,0.0,0.01
2025-08-02 15:42:19,7.3,3.5,73.0,78.34,0.0,0.17,0.17,0.01,0.01,0.01
2025-08-02 15:42:20,6.7,3.5,72.0,78.34,0.0,0.11,0.11,0.01,0.01,0.02
