timestamp,cpu_percent,ram_percent,gpu_avg_util_percent,gpu_avg_mem_percent,disk_read_MBps,disk_write_MBps,disk_total_MBps,net_sent_MBps,net_recv_MBps,net_total_MBps
2025-08-02 21:31:58,0.6,2.9,0.0,0.85,0.0,0.04,0.04,0.01,0.01,0.01
2025-08-02 21:31:59,1.6,2.9,0.0,0.85,0.0,0.11,0.11,0.01,0.01,0.02
2025-08-02 21:32:00,1.4,2.9,0.0,0.85,0.0,0.27,0.27,0.01,0.01,0.01
2025-08-02 21:32:01,0.7,2.9,0.0,0.85,0.0,0.35,0.35,0.01,0.0,0.01
2025-08-02 21:32:02,0.7,2.9,0.0,0.85,0.0,0.0,0.0,0.01,0.0,0.01
2025-08-02 21:32:03,1.3,2.9,0.0,0.85,0.0,0.12,0.12,0.01,0.01,0.01
2025-08-02 21:32:04,1.2,2.9,0.0,0.85,0.0,0.15,0.15,0.01,0.01,0.01
2025-08-02 21:32:05,0.7,2.9,0.0,0.85,0.0,0.2,0.2,0.01,0.0,0.01
2025-08-02 21:32:06,0.5,2.9,0.0,0.85,0.0,0.02,0.02,0.0,0.0,0.01
2025-08-02 21:32:07,1.1,2.9,0.0,0.85,0.0,0.45,0.45,0.01,0.01,0.01
2025-08-02 21:32:08,2.0,2.9,0.0,0.85,0.0,0.04,0.04,0.01,0.01,0.01
2025-08-02 21:32:09,1.4,2.9,0.0,0.85,0.0,0.14,0.14,0.01,0.0,0.01
2025-08-02 21:32:10,0.7,2.9,0.0,0.85,0.0,0.16,0.16,0.01,0.01,0.01
2025-08-02 21:32:11,0.4,2.9,0.0,0.85,0.0,0.18,0.18,0.01,0.0,0.01
2025-08-02 21:32:12,0.7,2.9,0.0,0.85,0.0,0.24,0.24,0.01,0.01,0.01
2025-08-02 21:32:13,0.3,2.9,0.0,0.85,0.0,0.12,0.12,0.01,0.0,0.01
2025-08-02 21:32:14,1.1,2.9,0.0,0.85,0.0,0.44,0.44,0.01,0.0,0.01
2025-08-02 21:32:15,0.3,2.9,0.0,0.85,0.0,0.06,0.06,0.01,0.01,0.01
2025-08-02 21:32:16,0.6,2.9,0.0,0.85,0.0,0.1,0.1,0.01,0.0,0.01
2025-08-02 21:32:17,0.8,2.9,0.0,0.85,0.0,0.1,0.1,0.01,0.0,0.01
2025-08-02 21:32:18,0.5,2.9,0.0,0.85,0.0,0.19,0.19,0.01,0.01,0.01
2025-08-02 21:32:19,2.1,2.9,0.0,0.85,0.0,0.02,0.02,0.01,0.0,0.01
2025-08-02 21:32:20,0.5,2.9,0.0,0.85,0.0,0.06,0.06,0.01,0.01,0.01
2025-08-02 21:32:21,0.6,2.9,0.0,0.85,0.0,0.32,0.32,0.01,0.01,0.01
2025-08-02 21:32:22,1.1,2.9,0.0,0.85,0.0,0.0,0.0,0.01,0.0,0.01
2025-08-02 21:32:23,0.4,2.9,0.0,0.85,0.0,1.21,1.21,0.01,0.01,0.01
2025-08-02 21:32:24,0.3,2.9,0.0,0.85,0.0,0.13,0.13,0.01,0.01,0.01
2025-08-02 21:32:25,1.7,2.9,0.0,0.85,0.0,0.1,0.1,0.01,0.01,0.01
2025-08-02 21:32:26,1.7,2.9,0.0,0.85,0.0,0.17,0.17,0.01,0.0,0.01
2025-08-02 21:32:27,0.9,2.9,0.0,0.85,0.0,0.07,0.07,0.01,0.01,0.01
2025-08-02 21:32:28,1.1,2.9,0.0,0.85,0.0,0.02,0.02,0.01,0.01,0.01
2025-08-02 21:32:29,3.5,2.9,0.0,0.85,0.0,0.44,0.44,0.01,0.0,0.01
2025-08-02 21:32:30,1.4,2.9,0.0,0.85,0.0,0.63,0.63,0.01,0.0,0.01
2025-08-02 21:32:31,0.8,2.9,0.0,0.85,0.0,0.01,0.01,0.01,0.01,0.01
2025-08-02 21:32:32,1.6,2.9,0.0,0.85,0.0,0.0,0.0,0.01,0.0,0.01
2025-08-02 21:32:33,2.4,2.9,0.0,0.85,0.0,0.22,0.22,0.01,0.0,0.01
2025-08-02 21:32:34,2.7,2.9,0.0,0.85,0.0,0.25,0.25,0.01,0.01,0.01
2025-08-02 21:32:35,1.9,2.9,0.0,0.85,0.0,0.2,0.2,0.0,0.0,0.01
2025-08-02 21:32:36,1.5,2.9,0.0,0.85,0.0,0.06,0.06,0.01,0.01,0.02
2025-08-02 21:32:37,2.6,2.9,0.0,0.85,0.0,0.34,0.34,0.01,0.01,0.02
2025-08-02 21:32:38,2.5,2.9,0.0,0.85,0.0,0.02,0.02,0.01,0.01,0.01
2025-08-02 21:32:39,2.2,2.9,0.0,0.85,0.0,0.08,0.08,0.01,0.01,0.01
2025-08-02 21:32:40,1.0,2.9,0.0,0.85,0.0,0.13,0.13,0.01,0.0,0.01
2025-08-02 21:32:41,1.2,2.9,0.0,0.85,0.0,0.13,0.13,0.01,0.01,0.02
2025-08-02 21:32:42,2.0,2.9,0.0,0.85,0.0,0.19,0.19,0.01,0.0,0.01
2025-08-02 21:32:43,1.7,2.9,0.0,0.85,0.0,0.03,0.03,0.01,0.01,0.01
2025-08-02 21:32:44,1.6,3.0,0.0,0.85,0.0,0.05,0.05,0.01,0.01,0.01
2025-08-02 21:32:45,1.8,3.0,0.0,0.85,0.0,0.23,0.23,0.01,0.01,0.01
2025-08-02 21:32:46,1.8,3.0,0.0,0.85,0.0,0.06,0.06,0.01,0.01,0.01
2025-08-02 21:32:47,2.5,3.0,0.0,0.85,0.0,0.75,0.75,0.01,0.0,0.01
2025-08-02 21:32:48,1.9,3.0,0.0,0.85,0.0,0.05,0.05,0.01,0.01,0.01
2025-08-02 21:32:49,2.6,3.1,0.0,0.85,0.0,0.04,0.04,0.0,0.0,0.01
2025-08-02 21:32:50,1.7,3.0,0.0,0.85,0.0,0.14,0.14,0.01,0.0,0.01
2025-08-02 21:32:51,1.7,3.0,0.0,0.85,0.0,0.13,0.13,0.01,0.0,0.01
2025-08-02 21:32:52,2.9,3.0,0.0,0.85,0.0,0.21,0.21,0.01,0.01,0.01
2025-08-02 21:32:53,2.7,3.0,0.0,0.85,0.0,0.32,0.32,0.01,0.0,0.01
2025-08-02 21:32:54,1.7,3.0,0.0,0.85,0.0,0.14,0.14,0.01,0.01,0.01
2025-08-02 21:32:55,1.7,3.0,0.0,0.85,0.0,0.05,0.05,0.01,0.0,0.01
2025-08-02 21:32:56,2.9,3.0,0.0,0.85,0.0,0.15,0.15,0.01,0.01,0.01
2025-08-02 21:32:57,2.0,3.0,0.0,0.85,0.0,0.14,0.14,0.01,0.0,0.01
2025-08-02 21:32:58,1.8,3.0,0.0,0.85,0.0,0.16,0.16,0.01,0.0,0.01
2025-08-02 21:32:59,2.1,3.0,0.0,0.85,0.0,0.02,0.02,0.01,0.01,0.01
2025-08-02 21:33:00,2.1,3.0,0.0,0.85,0.0,0.14,0.14,0.01,0.0,0.01
2025-08-02 21:33:01,1.8,3.0,0.0,0.85,0.0,0.0,0.0,0.01,0.0,0.01
2025-08-02 21:33:02,2.0,3.0,0.0,0.85,0.0,0.17,0.17,0.01,0.0,0.01
2025-08-02 21:33:03,2.4,3.0,0.0,0.85,0.0,0.39,0.39,0.01,0.01,0.01
2025-08-02 21:33:04,2.2,3.0,0.0,0.85,0.0,0.05,0.05,0.01,0.01,0.01
2025-08-02 21:33:05,2.1,3.0,0.0,0.85,0.0,0.06,0.06,0.01,0.0,0.01
2025-08-02 21:33:06,2.3,3.0,0.0,0.85,0.0,0.15,0.15,0.01,0.03,0.04
2025-08-02 21:33:07,3.4,3.0,0.0,0.85,0.0,0.2,0.2,0.01,0.0,0.01
2025-08-02 21:33:08,2.7,3.0,0.0,0.85,0.0,0.19,0.19,0.01,0.0,0.01
2025-08-02 21:33:09,3.6,3.0,0.0,0.85,0.0,0.37,0.37,0.03,1.17,1.2
2025-08-02 21:33:10,2.9,3.0,0.0,0.85,0.0,0.21,0.21,0.01,0.01,0.02
2025-08-02 21:33:11,2.6,3.1,0.0,79.26,0.0,0.14,0.14,0.01,0.01,0.01
2025-08-02 21:33:12,3.0,3.1,4.0,79.26,0.0,0.19,0.19,0.01,0.01,0.01
2025-08-02 21:33:13,2.9,3.1,0.0,79.26,0.0,0.09,0.09,0.01,0.01,0.01
2025-08-02 21:33:14,4.4,3.2,0.0,79.26,0.0,0.16,0.16,0.0,0.0,0.01
2025-08-02 21:33:15,3.1,3.1,0.0,79.26,0.0,0.18,0.18,0.0,0.0,0.01
2025-08-02 21:33:16,2.6,3.1,6.0,79.26,0.0,0.11,0.11,0.01,0.01,0.01
2025-08-02 21:33:17,3.7,3.1,0.0,79.26,0.0,0.02,0.02,0.01,0.01,0.01
2025-08-02 21:33:18,3.2,3.1,4.0,79.26,0.0,0.07,0.07,0.01,0.01,0.01
2025-08-02 21:33:19,3.9,3.1,0.0,79.26,0.0,0.34,0.34,0.01,0.01,0.01
2025-08-02 21:33:20,3.2,3.1,5.0,79.26,0.0,0.05,0.05,0.01,0.0,0.01
2025-08-02 21:33:21,3.9,3.1,0.0,79.26,0.0,0.3,0.3,0.01,0.01,0.01
2025-08-02 21:33:22,4.8,3.1,3.0,79.26,0.0,0.11,0.11,0.01,0.0,0.01
2025-08-02 21:33:23,4.8,3.2,0.0,79.26,0.0,0.0,0.0,0.01,0.01,0.01
2025-08-02 21:33:24,4.7,3.2,6.0,79.26,0.0,0.86,0.86,0.01,0.01,0.01
2025-08-02 21:33:25,3.7,3.2,3.0,79.26,0.0,0.0,0.0,0.01,0.01,0.01
2025-08-02 21:33:26,3.4,3.2,8.0,79.26,0.0,0.3,0.3,0.01,0.0,0.01
2025-08-02 21:33:27,3.8,3.2,2.0,79.26,0.0,0.02,0.02,0.01,0.0,0.01
2025-08-02 21:33:28,3.3,3.2,6.0,79.26,0.0,0.0,0.0,0.01,0.01,0.01
2025-08-02 21:33:29,3.7,3.2,0.0,79.26,0.0,0.09,0.09,0.01,0.01,0.01
2025-08-02 21:33:30,3.2,3.2,6.0,79.26,0.0,0.11,0.11,0.0,0.0,0.01
2025-08-02 21:33:31,3.6,3.2,6.0,79.26,0.0,0.07,0.07,0.01,0.0,0.01
2025-08-02 21:33:32,3.3,3.2,6.0,79.26,0.0,0.09,0.09,0.01,0.0,0.01
2025-08-02 21:33:33,4.1,3.2,8.0,79.26,0.0,0.2,0.2,0.01,0.0,0.01
2025-08-02 21:33:34,3.8,3.2,0.0,79.26,0.0,0.05,0.05,0.01,0.0,0.01
2025-08-02 21:33:35,3.6,3.2,0.0,79.26,0.0,0.1,0.1,0.01,0.0,0.01
2025-08-02 21:33:36,3.4,3.2,0.0,79.26,0.0,0.12,0.12,0.01,0.0,0.01
2025-08-02 21:33:37,4.4,3.2,8.0,79.26,0.0,0.21,0.21,0.01,0.0,0.01
2025-08-02 21:33:38,3.2,3.2,0.0,79.26,0.0,0.0,0.0,0.01,0.01,0.01
2025-08-02 21:33:39,4.4,3.2,3.0,79.26,0.0,0.2,0.2,0.01,0.0,0.01
2025-08-02 21:33:40,3.4,3.2,0.0,79.26,0.0,0.25,0.25,0.0,0.0,0.01
2025-08-02 21:33:41,3.3,3.2,0.0,79.26,0.0,0.14,0.14,0.0,0.0,0.01
2025-08-02 21:33:42,3.5,3.2,6.0,79.26,0.0,0.13,0.13,0.0,0.0,0.0
2025-08-02 21:33:43,3.5,3.2,6.0,79.26,0.0,0.0,0.0,0.0,0.0,0.01
2025-08-02 21:33:44,3.6,3.2,6.0,79.26,0.0,0.21,0.21,0.0,0.0,0.01
2025-08-02 21:33:45,3.5,3.2,6.0,79.26,0.0,0.36,0.36,0.0,0.0,0.01
2025-08-02 21:33:46,3.5,3.2,6.0,79.26,0.0,0.0,0.0,0.0,0.0,0.01
2025-08-02 21:33:47,4.0,3.2,6.0,79.26,0.0,0.09,0.09,0.01,0.01,0.02
2025-08-02 21:33:48,3.5,3.2,7.0,79.26,0.0,0.11,0.11,0.01,0.01,0.02
2025-08-02 21:33:49,3.2,3.2,6.0,79.26,0.0,0.19,0.19,0.01,0.0,0.01
2025-08-02 21:33:50,3.5,3.3,2.0,79.26,0.0,0.21,0.21,0.01,0.0,0.01
