timestamp,cpu_percent,ram_percent,gpu_avg_util_percent,gpu_avg_mem_percent,disk_read_MBps,disk_write_MBps,disk_total_MBps,net_sent_MBps,net_recv_MBps,net_total_MBps
2025-08-02 18:58:58,2.2,2.9,0.0,0.85,0.0,0.4,0.4,0.0,0.0,0.01
2025-08-02 18:58:59,2.5,2.9,0.0,0.85,0.0,0.05,0.05,0.01,0.01,0.02
2025-08-02 18:59:00,2.5,2.9,0.0,0.85,0.0,0.04,0.04,0.01,0.0,0.01
2025-08-02 18:59:01,1.9,2.9,0.0,0.85,0.0,0.1,0.1,0.01,0.0,0.01
2025-08-02 18:59:02,2.3,3.0,0.0,0.85,0.0,0.05,0.05,0.0,0.0,0.01
2025-08-02 18:59:03,3.1,3.0,0.0,0.85,0.0,0.53,0.53,0.01,0.01,0.01
2025-08-02 18:59:04,2.1,3.0,0.0,0.85,0.0,0.06,0.06,0.0,0.0,0.01
2025-08-02 18:59:05,1.9,3.0,0.0,0.85,0.0,0.09,0.09,0.01,0.0,0.01
2025-08-02 18:59:06,1.9,3.0,0.0,0.85,0.0,0.19,0.19,0.0,0.0,0.01
2025-08-02 18:59:07,2.0,3.0,0.0,0.85,0.0,0.1,0.1,0.0,0.0,0.01
2025-08-02 18:59:08,2.9,3.0,0.0,0.85,0.0,0.29,0.29,0.0,0.0,0.01
2025-08-02 18:59:09,2.4,3.0,0.0,0.85,0.0,0.13,0.13,0.0,0.0,0.01
2025-08-02 18:59:10,2.1,3.0,0.0,0.85,0.0,0.37,0.37,0.0,0.0,0.01
2025-08-02 18:59:11,1.9,3.0,0.0,0.85,0.0,0.09,0.09,0.01,0.0,0.01
2025-08-02 18:59:12,2.3,3.0,0.0,0.85,0.0,0.07,0.07,0.0,0.0,0.01
2025-08-02 18:59:13,1.6,3.0,0.0,0.85,0.0,0.06,0.06,0.0,0.0,0.01
2025-08-02 18:59:14,1.8,3.0,0.0,0.85,0.0,0.21,0.21,0.0,0.0,0.01
2025-08-02 18:59:15,2.0,3.0,0.0,0.85,0.0,0.2,0.2,0.0,0.0,0.01
2025-08-02 18:59:16,1.8,3.0,0.0,0.85,0.0,0.06,0.06,0.0,0.0,0.01
2025-08-02 18:59:17,1.9,3.0,0.0,0.85,0.0,0.11,0.11,0.0,0.0,0.01
2025-08-02 18:59:18,2.3,3.0,0.0,0.85,0.0,0.41,0.41,0.0,0.0,0.01
2025-08-02 18:59:19,2.5,3.0,0.0,0.85,0.0,0.12,0.12,0.0,0.0,0.01
2025-08-02 18:59:20,1.6,3.0,0.0,0.85,0.0,0.04,0.04,0.0,0.0,0.01
2025-08-02 18:59:21,1.6,3.0,0.0,0.85,0.0,0.21,0.21,0.0,0.0,0.01
2025-08-02 18:59:22,3.0,3.0,0.0,0.85,0.0,0.1,0.1,0.01,0.0,0.01
2025-08-02 18:59:23,1.9,3.0,0.0,0.85,0.0,0.0,0.0,0.01,0.0,0.01
2025-08-02 18:59:24,1.9,3.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.01
2025-08-02 18:59:25,1.6,3.0,0.0,0.85,0.0,0.02,0.02,0.0,0.0,0.01
2025-08-02 18:59:26,2.1,3.0,0.0,0.85,0.0,0.04,0.04,0.0,0.0,0.01
2025-08-02 18:59:27,2.3,3.0,0.0,0.85,0.0,0.55,0.55,0.0,0.0,0.01
2025-08-02 18:59:28,1.5,3.0,0.0,0.85,0.0,0.07,0.07,0.0,0.0,0.01
2025-08-02 18:59:29,3.8,2.9,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.01
2025-08-02 18:59:30,3.4,3.0,0.0,0.85,0.0,0.15,0.15,0.01,0.0,0.01
2025-08-02 18:59:31,2.7,3.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.01
2025-08-02 18:59:32,2.9,3.0,0.0,0.85,0.0,0.36,0.36,0.0,0.0,0.01
2025-08-02 18:59:33,3.2,3.0,0.0,0.85,0.0,0.21,0.21,0.01,0.0,0.01
2025-08-02 18:59:34,4.0,3.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.01
2025-08-02 18:59:35,3.1,3.0,0.0,0.85,0.0,0.14,0.14,0.01,0.01,0.01
2025-08-02 18:59:36,1.9,3.0,0.0,0.85,0.0,0.05,0.05,0.01,0.01,0.01
2025-08-02 18:59:37,2.5,3.0,0.0,0.85,0.0,0.02,0.02,0.01,0.0,0.01
2025-08-02 18:59:38,2.7,3.0,0.0,0.85,0.0,0.04,0.04,0.01,0.0,0.01
2025-08-02 18:59:39,3.3,3.0,0.0,0.85,0.0,0.32,0.32,0.01,0.01,0.01
2025-08-02 18:59:40,2.2,3.0,0.0,0.85,0.0,0.28,0.28,0.01,0.0,0.01
2025-08-02 18:59:41,2.2,3.0,0.0,0.85,0.0,0.01,0.01,0.01,0.0,0.01
2025-08-02 18:59:42,2.3,3.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.01
2025-08-02 18:59:43,2.6,3.0,0.0,0.85,0.0,0.04,0.04,0.01,0.01,0.01
2025-08-02 18:59:44,2.1,3.0,0.0,0.85,0.0,0.22,0.22,0.0,0.0,0.01
2025-08-02 18:59:45,1.9,3.0,0.0,0.85,0.0,0.27,0.27,0.01,0.01,0.01
2025-08-02 18:59:46,2.8,3.0,0.0,0.85,0.0,0.05,0.05,0.01,0.01,0.01
2025-08-02 18:59:47,3.0,3.0,0.0,0.85,0.0,0.04,0.04,0.01,0.0,0.01
2025-08-02 18:59:48,4.5,3.0,0.0,0.85,0.0,0.52,0.52,0.01,0.01,0.01
2025-08-02 18:59:49,2.9,3.0,0.0,0.85,0.0,1.14,1.14,0.0,0.0,0.01
2025-08-02 18:59:50,3.2,3.0,0.0,0.85,0.0,0.14,0.14,0.0,0.0,0.01
2025-08-02 18:59:51,2.3,3.0,0.0,0.85,0.0,0.32,0.32,0.01,0.01,0.01
2025-08-02 18:59:52,3.7,3.0,0.0,0.85,0.0,0.02,0.02,0.01,0.01,0.01
2025-08-02 18:59:53,2.7,3.0,0.0,0.85,0.0,0.13,0.13,0.01,0.0,0.01
2025-08-02 18:59:54,2.5,3.0,0.0,0.85,0.0,0.31,0.31,0.01,0.0,0.01
2025-08-02 18:59:55,2.8,3.1,0.0,0.85,0.0,0.19,0.19,0.01,0.0,0.01
2025-08-02 18:59:56,2.5,3.1,0.0,0.85,0.0,0.06,0.06,0.0,0.0,0.01
2025-08-02 18:59:57,2.9,3.0,0.0,0.85,0.0,0.3,0.3,0.01,0.01,0.01
2025-08-02 18:59:58,2.4,3.0,0.0,0.85,0.0,0.03,0.03,0.01,0.0,0.01
2025-08-02 18:59:59,3.3,3.0,0.0,0.85,0.0,0.29,0.29,0.0,0.0,0.01
2025-08-02 19:00:00,2.8,3.0,0.0,0.85,0.0,0.12,0.12,0.01,0.0,0.01
2025-08-02 19:00:01,3.8,3.1,0.0,0.85,0.0,0.07,0.07,0.01,0.0,0.01
2025-08-02 19:00:02,4.5,3.1,0.0,0.85,0.0,0.11,0.11,0.0,0.0,0.01
2025-08-02 19:00:03,4.1,3.1,0.0,0.85,0.0,0.23,0.23,0.0,0.0,0.01
2025-08-02 19:00:04,4.2,3.1,0.0,0.85,0.0,0.15,0.15,0.0,0.0,0.01
2025-08-02 19:00:05,4.1,3.1,0.0,0.85,0.0,0.26,0.26,0.01,0.01,0.01
2025-08-02 19:00:06,4.7,3.1,0.0,0.85,0.0,0.05,0.05,0.01,0.0,0.01
2025-08-02 19:00:07,4.9,3.1,0.0,0.85,0.0,0.14,0.14,0.01,0.0,0.01
2025-08-02 19:00:08,4.0,3.1,0.0,0.85,0.0,0.12,0.12,0.01,0.01,0.01
2025-08-02 19:00:09,4.7,3.2,0.0,0.85,0.0,0.3,0.3,0.01,0.0,0.01
