timestamp,cpu_percent,ram_percent,gpu_avg_util_percent,gpu_avg_mem_percent,disk_read_MBps,disk_write_MBps,disk_total_MBps,net_sent_MBps,net_recv_MBps,net_total_MBps
2025-08-02 20:56:03,1.7,2.9,0.0,0.85,0.0,0.07,0.07,0.03,0.03,0.06
2025-08-02 20:56:04,1.3,2.9,0.0,0.85,0.0,0.02,0.02,0.05,0.06,0.11
2025-08-02 20:56:05,1.0,2.9,0.0,0.85,0.0,0.1,0.1,0.03,0.03,0.06
2025-08-02 20:56:06,2.0,2.9,0.0,0.85,0.0,0.15,0.15,0.02,0.03,0.05
2025-08-02 20:56:07,2.1,2.9,0.0,0.85,0.0,0.12,0.12,0.03,0.03,0.07
2025-08-02 20:56:08,2.1,2.9,0.0,0.85,0.0,0.11,0.11,0.03,0.03,0.06
2025-08-02 20:56:09,2.0,2.9,0.0,0.85,0.0,0.07,0.07,0.05,0.05,0.1
2025-08-02 20:56:10,1.7,2.9,0.0,0.85,0.0,0.17,0.17,0.03,0.03,0.07
2025-08-02 20:56:11,2.2,2.9,0.0,0.85,0.0,0.16,0.16,0.03,0.03,0.06
2025-08-02 20:56:12,2.1,2.9,0.0,0.85,0.0,0.23,0.23,0.03,0.03,0.06
2025-08-02 20:56:13,1.7,2.9,0.0,0.85,0.0,0.07,0.07,0.04,0.04,0.08
2025-08-02 20:56:14,2.3,2.9,0.0,0.85,0.0,0.24,0.24,0.08,0.07,0.15
2025-08-02 20:56:15,1.3,2.9,0.0,0.85,0.0,0.26,0.26,0.04,0.04,0.08
2025-08-02 20:56:16,1.4,2.9,0.0,0.85,0.0,0.1,0.1,0.04,0.04,0.07
2025-08-02 20:56:17,1.3,2.9,0.0,0.85,0.0,0.12,0.12,0.03,0.03,0.05
2025-08-02 20:56:18,2.1,2.9,0.0,0.85,0.0,0.01,0.01,0.04,0.04,0.08
2025-08-02 20:56:19,1.9,2.9,0.0,0.85,0.0,0.17,0.17,0.08,0.08,0.16
2025-08-02 20:56:20,1.7,2.9,0.0,0.85,0.0,0.13,0.13,0.03,0.03,0.06
2025-08-02 20:56:21,2.2,2.9,0.0,0.85,0.0,0.37,0.37,0.03,0.03,0.06
2025-08-02 20:56:22,1.7,2.9,0.0,0.85,0.0,0.0,0.0,0.04,0.04,0.07
2025-08-02 20:56:23,0.8,2.9,0.0,0.85,0.0,0.07,0.07,0.03,0.03,0.07
2025-08-02 20:56:24,1.8,2.9,0.0,0.85,0.0,0.09,0.09,0.07,0.07,0.14
2025-08-02 20:56:25,1.1,2.9,0.0,0.85,0.0,0.31,0.31,0.05,0.05,0.09
2025-08-02 20:56:26,1.6,2.9,0.0,0.85,0.0,0.36,0.36,0.03,0.03,0.05
2025-08-02 20:56:27,1.2,2.9,0.0,0.85,0.0,0.02,0.02,0.03,0.03,0.06
2025-08-02 20:56:28,2.2,2.9,0.0,0.85,0.0,0.2,0.2,0.03,0.03,0.07
2025-08-02 20:56:29,3.4,2.9,0.0,0.85,0.0,0.0,0.0,0.07,0.07,0.14
2025-08-02 20:56:30,1.7,2.9,0.0,0.85,0.0,0.07,0.07,0.05,0.04,0.1
2025-08-02 20:56:31,1.1,2.9,0.0,0.85,0.0,0.29,0.29,0.03,0.03,0.07
2025-08-02 20:56:32,1.4,2.9,0.0,0.85,0.0,1.04,1.04,0.03,0.03,0.07
2025-08-02 20:56:33,1.9,2.9,0.0,0.85,0.0,0.35,0.35,0.03,0.04,0.07
2025-08-02 20:56:34,1.8,2.9,0.0,0.85,0.0,0.03,0.03,0.06,0.06,0.11
2025-08-02 20:56:35,0.8,2.9,0.0,0.85,0.0,0.02,0.02,0.06,0.05,0.11
2025-08-02 20:56:36,1.7,2.9,0.0,0.85,0.0,0.0,0.0,0.03,0.03,0.06
2025-08-02 20:56:37,1.4,2.9,0.0,0.85,0.0,0.19,0.19,0.03,0.03,0.05
2025-08-02 20:56:38,2.9,2.9,0.0,0.85,0.0,0.22,0.22,0.03,0.03,0.06
2025-08-02 20:56:39,1.9,2.9,0.0,0.85,0.0,0.13,0.13,0.05,0.05,0.1
