timestamp,cpu_percent,ram_percent,gpu_avg_util_percent,gpu_avg_mem_percent,disk_read_MBps,disk_write_MBps,disk_total_MBps,net_sent_MBps,net_recv_MBps,net_total_MBps
2025-08-13 12:21:32,2.6,5.3,0.0,0.85,0.0,1.8,1.8,0.0,0.0,0.01
2025-08-13 12:21:33,1.9,5.3,0.0,0.85,0.0,0.82,0.82,0.0,0.0,0.0
2025-08-13 12:21:34,1.4,5.3,0.0,0.85,0.0,1.55,1.55,0.0,0.0,0.01
2025-08-13 12:21:35,1.7,5.3,0.0,0.85,0.0,0.37,0.37,0.0,0.0,0.01
2025-08-13 12:21:36,3.1,5.3,0.0,0.85,0.0,3.97,3.97,0.01,0.01,0.02
2025-08-13 12:21:37,5.0,5.3,0.0,0.85,0.0,0.88,0.88,0.01,0.05,0.06
2025-08-13 12:21:38,9.7,5.3,0.0,0.85,0.0,2.12,2.12,0.06,0.09,0.14
2025-08-13 12:21:39,9.4,5.3,0.0,0.85,0.0,1.18,1.18,0.03,0.05,0.08
2025-08-13 12:21:40,10.6,5.4,0.0,0.85,0.0,2.49,2.49,0.04,0.08,0.12
2025-08-13 12:21:41,11.1,5.4,0.0,0.85,0.0,2.96,2.96,0.04,0.63,0.66
2025-08-13 12:21:42,13.1,5.4,0.0,0.85,0.0,2.37,2.37,0.62,0.66,1.28
2025-08-13 12:21:43,11.2,5.4,0.0,0.85,0.0,1.39,1.39,0.03,0.04,0.08
2025-08-13 12:21:44,10.5,5.4,0.0,0.85,0.0,2.09,2.09,0.04,0.64,0.67
2025-08-13 12:21:45,9.7,5.4,0.0,0.85,0.0,1.29,1.29,0.91,0.07,0.98
2025-08-13 12:21:46,11.2,5.4,0.0,0.85,0.0,9.74,9.74,0.02,0.02,0.05
2025-08-13 12:21:47,10.1,5.4,0.0,0.85,0.0,1.0,1.0,0.01,0.01,0.02
2025-08-13 12:21:48,9.1,5.4,0.0,0.85,0.0,2.04,2.04,0.03,0.06,0.09
2025-08-13 12:21:49,6.6,5.5,0.0,0.85,0.0,0.4,0.4,0.03,0.87,0.9
2025-08-13 12:21:50,8.4,5.5,0.0,0.85,0.0,2.96,2.96,0.01,0.01,0.02
2025-08-13 12:21:51,7.6,5.5,0.0,0.87,0.0,1.15,1.15,0.01,0.01,0.01
2025-08-13 12:21:52,7.6,5.5,4.0,79.26,0.0,2.38,2.38,0.01,0.0,0.01
2025-08-13 12:21:53,6.4,5.6,0.0,79.26,0.0,0.56,0.56,0.01,0.01,0.02
2025-08-13 12:21:54,5.4,5.6,0.0,79.26,0.0,2.37,2.37,0.0,0.0,0.01
2025-08-13 12:21:55,6.9,5.6,15.0,79.26,0.0,0.42,0.42,0.0,0.0,0.01
2025-08-13 12:21:56,5.2,5.7,0.0,79.26,0.0,2.02,2.02,0.0,0.0,0.01
2025-08-13 12:21:57,5.8,5.6,0.0,79.26,0.0,0.71,0.71,0.0,0.0,0.01
2025-08-13 12:21:58,6.1,5.6,0.0,79.26,0.0,0.92,0.92,0.0,0.0,0.01
2025-08-13 12:21:59,6.7,5.6,6.0,79.26,0.0,1.87,1.87,0.0,0.0,0.01
2025-08-13 12:22:00,6.3,5.7,0.0,79.26,0.0,0.97,0.97,0.0,0.0,0.01
2025-08-13 12:22:01,6.7,5.7,0.0,79.26,0.0,1.68,1.68,0.0,0.0,0.01
2025-08-13 12:22:02,5.5,5.7,7.0,79.26,0.0,2.06,2.06,0.0,0.0,0.01
2025-08-13 12:22:03,5.9,5.7,0.0,79.26,0.0,1.34,1.34,0.0,0.0,0.01
2025-08-13 12:22:04,6.9,5.7,6.0,79.26,0.0,1.02,1.02,0.01,0.0,0.01
2025-08-13 12:22:05,7.7,5.7,2.0,79.26,0.0,1.9,1.9,0.0,0.0,0.01
2025-08-13 12:22:06,6.5,5.7,1.0,79.26,0.0,0.78,0.78,0.0,0.0,0.01
2025-08-13 12:22:07,6.3,5.7,6.0,79.26,0.0,2.47,2.47,0.0,0.0,0.01
2025-08-13 12:22:08,6.2,5.7,2.0,79.26,0.0,0.94,0.94,0.0,0.0,0.01
2025-08-13 12:22:09,7.4,5.7,0.0,79.26,0.0,1.92,1.92,0.0,0.0,0.01
2025-08-13 12:22:10,5.8,5.7,0.0,79.26,0.0,0.89,0.89,0.0,0.0,0.01
2025-08-13 12:22:11,5.7,5.7,0.0,79.26,0.0,1.62,1.62,0.0,0.0,0.01
2025-08-13 12:22:12,5.7,5.7,9.0,79.26,0.0,1.64,1.64,0.0,0.0,0.01
2025-08-13 12:22:13,5.6,5.7,1.0,79.26,0.0,1.74,1.74,0.0,0.0,0.01
2025-08-13 12:22:14,7.3,5.7,6.0,79.26,0.0,0.81,0.81,0.01,0.0,0.01
2025-08-13 12:22:15,6.9,5.7,2.0,79.26,0.0,1.81,1.81,0.0,0.0,0.01
2025-08-13 12:22:16,10.3,5.7,0.0,79.26,0.0,7.11,7.11,0.0,0.0,0.01
2025-08-13 12:22:17,5.7,5.7,0.0,79.26,0.0,1.78,1.78,0.0,0.0,0.01
2025-08-13 12:22:18,6.3,5.7,0.0,79.26,0.0,0.33,0.33,0.0,0.0,0.01
2025-08-13 12:22:19,5.5,5.7,7.0,79.26,0.0,2.37,2.37,0.0,0.0,0.01
2025-08-13 12:22:20,7.0,5.7,0.0,79.26,0.0,0.77,0.77,0.0,0.0,0.01
2025-08-13 12:22:21,5.6,5.7,4.0,79.26,0.0,2.25,2.25,0.0,0.0,0.0
2025-08-13 12:22:22,7.4,5.7,3.0,79.26,0.0,7.77,7.77,0.0,0.0,0.01
2025-08-13 12:22:23,5.4,5.7,6.0,79.26,0.0,2.57,2.57,0.0,0.0,0.01
2025-08-13 12:22:24,5.4,5.7,0.0,79.26,0.0,0.22,0.22,0.0,0.0,0.01
2025-08-13 12:22:25,6.1,5.7,0.0,79.26,0.0,2.15,2.15,0.0,0.0,0.01
2025-08-13 12:22:26,6.0,5.7,0.0,79.26,0.0,0.22,0.22,0.0,0.0,0.01
2025-08-13 12:22:27,5.3,5.7,4.0,79.26,0.0,1.33,1.33,0.0,0.0,0.01
2025-08-13 12:22:28,6.3,5.7,0.0,79.26,0.0,2.3,2.3,0.0,0.0,0.01
2025-08-13 12:22:29,6.0,5.7,9.0,79.26,0.0,1.08,1.08,0.0,0.0,0.01
2025-08-13 12:22:30,5.6,5.7,0.0,79.26,0.0,1.86,1.86,0.0,0.0,0.01
2025-08-13 12:22:31,5.3,5.7,6.0,79.26,0.0,0.8,0.8,0.0,0.0,0.01
2025-08-13 12:22:32,5.7,5.7,3.0,79.26,0.0,1.82,1.82,0.0,0.0,0.01
2025-08-13 12:22:33,5.4,5.7,6.0,79.26,0.0,1.63,1.63,0.0,0.0,0.01
2025-08-13 12:22:34,5.8,5.7,3.0,79.26,0.0,1.71,1.71,0.0,0.0,0.01
2025-08-13 12:22:35,5.8,5.7,2.0,79.26,0.0,0.79,0.79,0.0,0.0,0.01
2025-08-13 12:22:36,5.9,5.7,0.0,79.26,0.0,1.6,1.6,0.0,0.0,0.01
2025-08-13 12:22:37,6.5,5.7,0.0,79.26,0.0,0.74,0.74,0.0,0.0,0.01
2025-08-13 12:22:38,6.0,5.7,1.0,79.26,0.0,1.99,1.99,0.0,0.0,0.01
2025-08-13 12:22:39,5.8,5.8,0.0,79.26,0.0,0.96,0.96,0.0,0.0,0.01
2025-08-13 12:22:40,7.4,5.8,6.0,79.26,0.0,1.96,1.96,0.0,0.0,0.01
2025-08-13 12:22:41,6.3,5.8,5.0,79.26,0.0,2.09,2.09,0.01,0.01,0.01
2025-08-13 12:22:42,6.1,5.8,0.0,79.26,0.0,3.13,3.13,0.01,0.01,0.01
2025-08-13 12:22:43,5.8,5.8,0.0,79.26,0.0,2.6,2.6,0.0,0.0,0.01
2025-08-13 12:22:44,5.8,5.8,0.0,79.26,0.0,3.24,3.24,0.0,0.0,0.01
2025-08-13 12:22:45,6.1,5.8,6.0,79.26,0.0,5.79,5.79,0.0,0.0,0.01
2025-08-13 12:22:46,5.6,5.8,6.0,79.26,0.0,1.79,1.79,0.0,0.0,0.0
2025-08-13 12:22:47,5.7,5.8,0.0,79.26,0.0,7.26,7.26,0.0,0.0,0.01
2025-08-13 12:22:48,6.1,5.8,6.0,79.26,0.0,1.78,1.78,0.0,0.0,0.01
2025-08-13 12:22:49,6.6,5.8,0.0,79.26,0.0,1.18,1.18,0.0,0.0,0.01
2025-08-13 12:22:50,7.4,5.8,1.0,79.26,0.0,2.27,2.27,0.0,0.0,0.01
2025-08-13 12:22:51,6.3,5.8,0.0,79.26,0.0,0.99,0.99,0.0,0.0,0.0
2025-08-13 12:22:52,6.8,5.8,0.0,79.26,0.0,1.88,1.88,0.0,0.0,0.0
2025-08-13 12:22:53,5.7,5.8,0.0,79.26,0.0,0.78,0.78,0.0,0.0,0.01
2025-08-13 12:22:54,5.8,5.8,0.0,79.26,0.0,2.0,2.0,0.0,0.0,0.01
2025-08-13 12:22:55,7.4,5.8,0.0,79.26,0.0,0.91,0.91,0.0,0.0,0.01
2025-08-13 12:22:56,5.3,5.8,0.0,79.26,0.0,1.69,1.69,0.0,0.0,0.01
2025-08-13 12:22:57,6.0,5.8,1.0,79.26,0.0,0.47,0.47,0.0,0.0,0.01
2025-08-13 12:22:58,6.4,5.8,0.0,79.26,0.0,2.39,2.39,0.0,0.0,0.01
2025-08-13 12:22:59,7.9,5.8,2.0,79.26,0.0,1.54,1.54,0.0,0.0,0.01
2025-08-13 12:23:00,5.9,5.8,6.0,79.26,0.0,1.47,1.47,0.0,0.0,0.01
2025-08-13 12:23:01,6.2,5.8,0.0,79.26,0.0,1.14,1.14,0.0,0.0,0.01
2025-08-13 12:23:02,5.4,5.8,2.0,79.26,0.0,1.73,1.73,0.0,0.0,0.01
2025-08-13 12:23:03,6.0,5.8,6.0,79.26,0.0,0.33,0.33,0.0,0.0,0.01
2025-08-13 12:23:04,5.9,5.8,6.0,79.26,0.0,2.41,2.41,0.0,0.0,0.01
2025-08-13 12:23:05,6.2,5.8,0.0,79.26,0.0,0.22,0.22,0.0,0.0,0.01
2025-08-13 12:23:06,5.4,5.8,6.0,79.26,0.0,2.17,2.17,0.0,0.0,0.0
2025-08-13 12:23:07,6.9,5.9,6.0,79.26,0.0,0.43,0.43,0.0,0.0,0.01
2025-08-13 12:23:08,5.3,5.9,0.0,79.26,0.0,0.93,0.93,0.0,0.0,0.01
2025-08-13 12:23:09,6.5,5.9,6.0,79.26,0.0,2.43,2.43,0.0,0.0,0.01
2025-08-13 12:23:10,5.5,5.9,0.0,79.26,0.0,1.09,1.09,0.0,0.0,0.0
2025-08-13 12:23:11,6.2,5.9,4.0,79.26,0.0,1.49,1.49,0.0,0.0,0.01
2025-08-13 12:23:12,5.5,5.9,6.0,79.26,0.0,1.17,1.17,0.0,0.0,0.01
2025-08-13 12:23:13,6.0,5.9,0.0,79.26,0.0,1.67,1.67,0.0,0.0,0.0
2025-08-13 12:23:14,5.4,5.9,0.0,79.26,0.0,0.97,0.97,0.0,0.0,0.01
2025-08-13 12:23:15,5.7,5.9,2.0,79.26,0.0,1.66,1.66,0.0,0.0,0.01
2025-08-13 12:23:16,5.1,5.9,6.0,79.26,0.0,0.89,0.89,0.0,0.0,0.01
2025-08-13 12:23:17,7.9,5.9,0.0,79.26,0.0,1.81,1.81,0.0,0.0,0.01
2025-08-13 12:23:18,5.4,5.9,6.0,79.26,0.0,6.3,6.3,0.0,0.0,0.01
2025-08-13 12:23:19,6.2,5.9,0.0,79.26,0.0,1.71,1.71,0.0,0.0,0.01
2025-08-13 12:23:20,6.4,5.9,6.0,79.26,0.0,0.77,0.77,0.0,0.0,0.0
2025-08-13 12:23:21,5.7,5.9,0.0,79.26,0.0,2.43,2.43,0.0,0.0,0.0
2025-08-13 12:23:22,7.7,5.9,6.0,79.26,0.0,8.38,8.38,0.0,0.0,0.01
2025-08-13 12:23:23,5.7,5.9,6.0,79.26,0.0,1.89,1.89,0.0,0.0,0.01
2025-08-13 12:23:24,6.1,5.9,4.0,79.26,0.0,0.97,0.97,0.0,0.0,0.01
2025-08-13 12:23:25,6.9,6.0,0.0,79.26,0.0,2.87,2.87,0.0,0.0,0.01
2025-08-13 12:23:26,7.1,5.9,3.0,79.26,0.0,5.26,5.26,0.0,0.0,0.01
2025-08-13 12:23:27,6.2,6.0,6.0,79.26,0.0,1.91,1.91,0.0,0.0,0.01
2025-08-13 12:23:28,6.3,6.0,5.0,79.26,0.0,0.95,0.95,0.0,0.0,0.0
2025-08-13 12:23:29,6.8,6.0,6.0,79.26,0.0,1.96,1.96,0.0,0.0,0.01
2025-08-13 12:23:30,6.9,6.0,0.0,79.26,0.0,1.85,1.85,0.0,0.0,0.01
2025-08-13 12:23:31,6.0,6.1,0.0,79.26,0.0,1.83,1.83,0.0,0.0,0.01
2025-08-13 12:23:32,7.3,6.2,22.0,79.26,0.0,1.22,1.22,0.0,0.0,0.0
2025-08-13 12:23:33,6.4,6.0,7.0,79.43,0.0,1.77,1.77,0.0,0.0,0.01
2025-08-13 12:23:34,7.8,6.0,100.0,80.46,0.0,0.39,0.39,0.0,0.0,0.01
2025-08-13 12:23:35,7.9,6.1,63.0,81.02,0.0,2.63,2.63,0.0,0.0,0.01
2025-08-13 12:23:36,6.4,6.1,61.0,81.02,0.0,0.7,0.7,0.0,0.0,0.01
2025-08-13 12:23:37,6.3,6.1,62.0,81.02,0.0,1.09,1.09,0.0,0.0,0.01
2025-08-13 12:23:38,5.9,6.1,63.0,81.02,0.0,1.91,1.91,0.0,0.0,0.01
2025-08-13 12:23:39,5.9,6.1,65.0,81.02,0.0,1.18,1.18,0.0,0.0,0.01
2025-08-13 12:23:40,5.8,6.1,61.0,81.02,0.0,2.67,2.67,0.0,0.0,0.0
2025-08-13 12:23:41,5.3,6.1,65.0,81.02,0.0,1.03,1.03,0.0,0.0,0.01
2025-08-13 12:23:42,5.7,6.1,65.0,81.02,0.0,2.15,2.15,0.0,0.0,0.01
2025-08-13 12:23:43,6.8,6.1,65.0,81.02,0.0,0.9,0.9,0.0,0.0,0.01
2025-08-13 12:23:44,7.5,6.1,64.0,81.02,0.0,1.8,1.8,0.0,0.0,0.0
2025-08-13 12:23:45,6.0,6.1,63.0,81.02,0.0,1.49,1.49,0.0,0.0,0.01
2025-08-13 12:23:46,5.9,6.1,65.0,81.02,0.0,1.88,1.88,0.0,0.0,0.0
2025-08-13 12:23:47,5.3,6.1,62.0,81.02,0.0,0.98,0.98,0.0,0.0,0.0
2025-08-13 12:23:48,5.8,6.1,65.0,81.02,0.0,8.12,8.12,0.0,0.0,0.01
2025-08-13 12:23:49,6.0,6.1,63.0,81.02,0.0,1.1,1.1,0.0,0.0,0.01
2025-08-13 12:23:50,7.6,6.1,65.0,81.02,0.0,2.35,2.35,0.0,0.0,0.0
2025-08-13 12:23:51,5.3,6.1,65.0,81.02,0.0,0.73,0.73,0.0,0.0,0.0
2025-08-13 12:23:52,6.8,6.1,66.0,81.02,0.0,2.1,2.1,0.0,0.0,0.0
2025-08-13 12:23:53,5.4,6.1,66.0,81.02,0.0,1.0,1.0,0.0,0.0,0.01
2025-08-13 12:23:54,6.3,6.1,66.0,81.02,0.0,1.87,1.87,0.0,0.0,0.01
2025-08-13 12:23:55,6.8,6.1,65.0,81.02,0.0,0.67,0.67,0.0,0.0,0.01
2025-08-13 12:23:56,5.9,6.1,66.0,81.02,0.0,2.2,2.2,0.0,0.0,0.0
2025-08-13 12:23:57,5.3,6.1,66.0,81.02,0.0,0.73,0.73,0.0,0.0,0.01
2025-08-13 12:23:58,5.5,6.1,68.0,81.02,0.0,1.9,1.9,0.0,0.0,0.01
2025-08-13 12:23:59,5.4,6.1,66.0,81.02,0.0,1.1,1.1,0.0,0.0,0.01
2025-08-13 12:24:00,4.6,6.1,68.0,81.02,0.0,1.7,1.7,0.0,0.0,0.01
2025-08-13 12:24:01,5.0,6.1,68.0,81.02,0.0,0.85,0.85,0.0,0.0,0.0
2025-08-13 12:24:02,5.1,6.1,68.0,81.02,0.0,1.63,1.63,0.0,0.01,0.01
2025-08-13 12:24:03,5.4,6.1,69.0,81.02,0.0,0.35,0.35,0.0,0.0,0.01
2025-08-13 12:24:04,5.2,6.1,68.0,81.02,0.0,2.15,2.15,0.0,0.0,0.01
2025-08-13 12:24:05,5.5,6.1,69.0,81.02,0.0,1.08,1.08,0.0,0.0,0.0
2025-08-13 12:24:06,5.2,6.1,67.0,81.02,0.0,2.46,2.46,0.0,0.01,0.01
2025-08-13 12:24:07,9.6,6.1,68.0,81.02,0.0,1.08,1.08,0.0,0.01,0.01
2025-08-13 12:24:08,6.3,6.1,66.0,81.02,0.0,1.56,1.56,0.0,0.0,0.01
2025-08-13 12:24:09,7.1,6.1,68.0,81.02,0.0,1.39,1.39,0.0,0.01,0.01
2025-08-13 12:24:10,7.5,6.1,68.0,81.02,0.0,1.58,1.58,0.0,0.0,0.01
2025-08-13 12:24:11,8.1,6.1,70.0,81.02,0.0,0.89,0.89,0.01,0.01,0.01
2025-08-13 12:24:12,7.2,6.1,68.0,81.02,0.0,2.88,2.88,0.0,0.0,0.0
2025-08-13 12:24:14,8.0,6.2,69.0,81.02,0.0,1.23,1.23,0.01,0.01,0.02
2025-08-13 12:24:15,10.9,6.0,69.0,81.02,0.0,1.81,1.81,0.01,0.04,0.04
2025-08-13 12:24:16,7.9,6.0,70.0,81.02,0.0,0.22,0.22,0.01,0.01,0.02
2025-08-13 12:24:17,7.5,6.0,71.0,81.02,0.0,0.95,0.95,0.01,0.0,0.02
2025-08-13 12:24:18,5.3,6.0,71.0,81.02,0.0,2.1,2.1,0.0,0.0,0.01
2025-08-13 12:24:19,5.8,6.0,70.0,81.02,0.0,0.2,0.2,0.01,0.02,0.02
2025-08-13 12:24:20,7.7,6.1,71.0,81.02,0.0,7.22,7.22,0.02,0.05,0.07
2025-08-13 12:24:21,6.7,6.1,69.0,81.02,0.0,1.74,1.74,0.02,0.01,0.03
