timestamp,cpu_percent,ram_percent,gpu_avg_util_percent,gpu_avg_mem_percent,disk_read_MBps,disk_write_MBps,disk_total_MBps,net_sent_MBps,net_recv_MBps,net_total_MBps
2025-08-12 12:40:32,5.0,42.4,0.0,0.85,0.0,0.05,0.05,0.11,0.1,0.21
2025-08-12 12:40:33,5.0,42.4,0.0,0.85,0.0,0.94,0.94,0.04,0.04,0.08
2025-08-12 12:40:34,5.1,42.5,0.0,0.85,0.0,0.47,0.47,0.16,0.17,0.33
2025-08-12 12:40:35,5.6,42.5,0.0,0.85,0.0,0.11,0.11,0.05,0.05,0.1
2025-08-12 12:40:36,5.6,42.5,0.0,0.85,0.0,5.03,5.03,0.04,0.04,0.08
2025-08-12 12:40:37,6.8,42.5,0.0,0.85,0.0,9.25,9.25,6.5,0.36,6.87
2025-08-12 12:40:38,5.1,42.5,0.0,0.85,0.0,0.05,0.05,2.71,0.44,3.15
2025-08-12 12:40:39,6.6,42.5,0.0,0.85,0.0,0.05,0.05,5.88,0.7,6.58
2025-08-12 12:40:40,6.5,42.5,0.0,0.85,0.0,0.07,0.07,6.35,2.67,9.02
2025-08-12 12:40:41,7.7,42.5,0.0,0.85,0.0,1.85,1.85,7.62,1.57,9.19
2025-08-12 12:40:42,8.2,42.5,0.0,0.85,0.0,14.94,14.94,7.38,0.57,7.95
2025-08-12 12:40:43,8.3,42.5,0.0,0.85,0.0,0.5,0.5,3.37,0.55,3.93
2025-08-12 12:40:44,9.0,42.5,0.0,0.85,0.0,0.43,0.43,2.39,0.61,3.0
2025-08-12 12:40:45,10.4,42.5,0.0,0.85,0.0,0.11,0.11,3.48,1.25,4.73
2025-08-12 12:40:46,13.0,42.6,0.0,0.85,0.0,0.53,0.53,4.4,0.84,5.24
2025-08-12 12:40:47,13.6,42.6,0.0,0.86,0.0,10.4,10.4,4.36,1.53,5.89
2025-08-12 12:40:48,12.4,42.6,0.0,0.86,0.0,1.04,1.04,0.89,1.09,1.98
2025-08-12 12:40:49,12.2,42.6,0.0,0.86,0.0,0.32,0.32,1.74,1.06,2.8
2025-08-12 12:40:50,11.7,42.6,0.0,0.86,0.0,0.04,0.04,0.95,1.29,2.24
2025-08-12 12:40:51,10.5,42.6,0.0,0.86,0.0,1.02,1.02,2.05,0.87,2.92
2025-08-12 12:40:52,9.2,42.6,0.0,0.86,0.0,24.7,24.7,2.35,2.41,4.77
2025-08-12 12:40:53,10.0,42.6,0.0,0.86,0.0,0.75,0.75,0.76,1.33,2.09
2025-08-12 12:40:54,10.9,42.6,0.0,0.86,0.0,0.56,0.56,0.48,0.44,0.91
2025-08-12 12:40:55,9.4,42.7,0.0,0.86,0.0,0.05,0.05,0.12,0.08,0.2
2025-08-12 12:40:56,8.4,42.7,0.0,0.86,0.0,1.02,1.02,0.15,0.1,0.25
2025-08-12 12:40:57,8.2,42.7,0.0,0.86,0.0,0.71,0.71,0.18,0.12,0.3
2025-08-12 12:40:58,8.5,42.7,0.0,0.86,0.0,14.14,14.14,0.12,0.07,0.19
2025-08-12 12:40:59,9.3,42.7,0.0,0.86,0.0,0.16,0.16,0.25,0.16,0.41
2025-08-12 12:41:00,8.3,42.7,0.0,0.86,0.0,0.56,0.56,0.1,0.06,0.17
2025-08-12 12:41:01,8.3,42.7,0.0,0.86,0.0,0.21,0.21,0.13,0.06,0.19
2025-08-12 12:41:02,8.9,42.8,0.0,0.86,0.0,0.24,0.24,0.18,0.12,0.3
2025-08-12 12:41:03,7.8,42.8,0.0,0.86,0.0,14.02,14.02,0.74,1.31,2.05
2025-08-12 12:41:04,9.4,42.8,0.0,0.86,0.0,0.11,0.11,0.21,0.18,0.39
2025-08-12 12:41:05,9.2,42.8,0.0,0.86,0.0,1.22,1.22,0.08,0.08,0.16
2025-08-12 12:41:06,9.6,42.8,0.0,0.86,0.0,0.09,0.09,0.2,0.21,0.41
2025-08-12 12:41:07,9.6,42.8,0.0,1.46,0.0,0.24,0.24,0.08,0.09,0.16
2025-08-12 12:41:08,11.1,42.8,0.0,1.46,0.0,10.65,10.65,0.05,0.06,0.1
2025-08-12 12:41:09,8.7,42.8,0.0,1.46,0.0,0.46,0.46,0.14,0.15,0.3
2025-08-12 12:41:10,7.6,42.8,0.0,1.46,0.0,0.44,0.44,0.05,0.06,0.1
2025-08-12 12:41:11,7.5,42.8,0.0,1.46,0.0,0.23,0.23,0.05,0.06,0.11
2025-08-12 12:41:12,8.1,42.9,0.0,1.9,0.0,0.81,0.81,0.1,0.1,0.2
2025-08-12 12:41:13,10.0,42.9,0.0,79.74,0.0,0.83,0.83,0.05,0.06,0.11
2025-08-12 12:41:14,6.9,42.9,2.0,79.74,0.0,13.99,13.99,0.15,0.16,0.31
2025-08-12 12:41:15,6.6,42.9,6.0,79.74,0.0,0.05,0.05,0.04,0.06,0.1
2025-08-12 12:41:16,6.6,42.9,6.0,79.74,0.0,0.08,0.08,0.11,0.1,0.2
2025-08-12 12:41:17,7.3,42.9,6.0,79.74,0.0,0.75,0.75,0.08,0.09,0.17
2025-08-12 12:41:18,8.5,42.9,3.0,79.74,0.0,0.21,0.21,0.05,0.05,0.1
2025-08-12 12:41:19,10.2,42.9,0.0,79.74,0.0,15.35,15.35,0.15,0.16,0.31
2025-08-12 12:41:20,8.9,42.9,7.0,79.74,0.0,0.03,0.03,0.05,0.05,0.1
2025-08-12 12:41:21,9.7,42.9,1.0,79.74,0.0,0.07,0.07,0.08,0.09,0.17
2025-08-12 12:41:22,9.0,43.0,6.0,79.74,0.0,0.96,0.96,0.12,0.1,0.22
2025-08-12 12:41:23,8.7,42.9,0.0,79.74,0.0,0.5,0.5,0.05,0.06,0.11
2025-08-12 12:41:24,9.7,42.9,0.0,79.74,0.0,10.48,10.48,0.14,0.15,0.29
2025-08-12 12:41:25,8.5,42.9,0.0,79.74,0.0,0.06,0.06,0.06,0.06,0.12
2025-08-12 12:41:26,8.6,43.0,2.0,79.74,0.0,2.07,2.07,0.05,0.05,0.1
2025-08-12 12:41:27,8.3,42.9,6.0,79.74,0.0,0.11,0.11,0.08,0.09,0.16
2025-08-12 12:41:28,8.5,42.9,5.0,79.74,0.0,0.65,0.65,0.05,0.06,0.1
2025-08-12 12:41:29,8.8,42.9,6.0,79.74,0.0,13.27,13.27,0.14,0.15,0.29
2025-08-12 12:41:30,8.2,42.9,6.0,79.74,0.0,0.66,0.66,0.05,0.05,0.1
2025-08-12 12:41:31,9.6,43.0,6.0,79.74,0.0,0.28,0.28,0.04,0.05,0.1
2025-08-12 12:41:32,8.9,43.0,0.0,79.74,0.0,0.51,0.51,0.09,0.1,0.19
2025-08-12 12:41:33,8.7,43.0,6.0,79.74,0.0,0.14,0.14,0.05,0.06,0.11
2025-08-12 12:41:34,10.2,43.0,6.0,79.74,0.0,0.73,0.73,0.14,0.15,0.29
2025-08-12 12:41:35,8.7,42.9,6.0,79.74,0.0,13.57,13.57,0.04,0.05,0.09
2025-08-12 12:41:36,8.7,43.0,6.0,79.74,0.0,0.52,0.52,0.05,0.06,0.11
2025-08-12 12:41:37,9.1,43.0,5.0,79.74,0.0,0.11,0.11,0.07,0.08,0.15
2025-08-12 12:41:38,8.8,42.9,6.0,79.74,0.0,0.14,0.14,0.1,0.09,0.19
2025-08-12 12:41:39,8.6,42.9,6.0,79.74,0.0,0.2,0.2,0.14,0.15,0.29
2025-08-12 12:41:40,8.8,42.9,2.0,79.74,0.0,11.54,11.54,0.04,0.05,0.1
2025-08-12 12:41:41,8.4,42.9,0.0,79.74,0.0,1.21,1.21,0.05,0.05,0.1
2025-08-12 12:41:42,8.4,43.0,6.0,79.74,0.0,0.02,0.02,0.09,0.09,0.18
2025-08-12 12:41:43,8.4,42.9,0.0,79.74,0.0,0.11,0.11,0.05,0.06,0.11
2025-08-12 12:41:44,9.4,43.0,6.0,79.74,0.0,0.93,0.93,0.14,0.15,0.29
2025-08-12 12:41:45,8.6,43.0,6.0,79.74,0.0,12.07,12.07,0.05,0.05,0.1
2025-08-12 12:41:46,8.4,43.0,4.0,79.74,0.0,0.71,0.71,0.05,0.05,0.1
2025-08-12 12:41:47,8.5,43.0,6.0,79.74,0.0,0.49,0.49,0.08,0.09,0.16
2025-08-12 12:41:48,8.9,43.0,0.0,79.74,0.0,0.08,0.08,0.05,0.06,0.11
2025-08-12 12:41:49,9.6,43.0,3.0,79.74,0.0,0.24,0.24,0.21,0.19,0.4
2025-08-12 12:41:50,10.9,43.0,1.0,79.74,0.0,13.29,13.29,0.05,0.06,0.1
2025-08-12 12:41:51,9.7,42.9,6.0,79.74,0.0,0.23,0.23,0.05,0.06,0.11
2025-08-12 12:41:52,9.8,43.0,6.0,79.74,0.0,0.81,0.81,0.09,0.09,0.18
2025-08-12 12:41:53,10.7,43.0,6.0,79.74,0.0,0.11,0.11,0.06,0.07,0.13
2025-08-12 12:41:54,10.7,43.0,1.0,79.74,0.0,0.63,0.63,0.2,0.19,0.39
2025-08-12 12:41:55,8.8,43.0,6.0,79.74,0.0,13.15,13.15,0.06,0.06,0.12
2025-08-12 12:41:56,8.4,43.0,0.0,79.74,0.0,0.09,0.09,0.05,0.06,0.1
2025-08-12 12:41:57,8.1,43.0,6.0,79.74,0.0,0.44,0.44,0.08,0.09,0.17
2025-08-12 12:41:58,8.5,43.0,9.0,79.74,0.0,1.15,1.15,0.06,0.07,0.13
2025-08-12 12:41:59,8.7,43.0,6.0,79.74,0.0,0.47,0.47,0.15,0.17,0.32
2025-08-12 12:42:00,8.4,43.0,0.0,79.74,0.0,10.83,10.83,0.05,0.06,0.11
2025-08-12 12:42:01,9.0,43.0,6.0,79.74,0.0,0.98,0.98,0.07,0.08,0.14
2025-08-12 12:42:02,9.9,43.0,3.0,79.74,0.0,0.05,0.05,0.12,0.11,0.23
2025-08-12 12:42:03,8.3,43.0,1.0,79.74,0.0,0.89,0.89,0.05,0.06,0.1
2025-08-12 12:42:04,9.1,43.0,7.0,79.74,0.0,0.23,0.23,0.14,0.15,0.29
2025-08-12 12:42:05,8.4,43.0,5.0,79.74,0.0,0.11,0.11,0.04,0.05,0.09
2025-08-12 12:42:06,8.8,43.0,7.0,79.74,0.0,14.64,14.64,0.07,0.08,0.15
2025-08-12 12:42:07,8.8,43.0,0.0,79.74,0.0,0.14,0.14,0.04,0.05,0.1
2025-08-12 12:42:08,8.4,43.0,8.0,79.74,0.0,1.11,1.11,0.1,0.09,0.19
2025-08-12 12:42:09,8.9,43.0,0.0,79.74,0.0,0.04,0.04,0.14,0.15,0.29
2025-08-12 12:42:10,8.4,43.0,4.0,79.74,0.0,0.06,0.06,0.04,0.05,0.09
2025-08-12 12:42:11,8.6,43.0,0.0,79.74,0.0,13.57,13.57,0.07,0.08,0.15
2025-08-12 12:42:12,8.3,43.0,2.0,79.74,0.0,0.27,0.27,0.07,0.07,0.14
2025-08-12 12:42:13,8.6,43.0,0.0,79.74,0.0,0.72,0.72,0.04,0.05,0.1
2025-08-12 12:42:14,8.7,43.0,5.0,79.74,0.0,0.06,0.06,0.14,0.15,0.29
2025-08-12 12:42:15,8.5,43.0,0.0,79.74,0.0,0.05,0.05,0.04,0.05,0.09
2025-08-12 12:42:16,8.3,43.0,0.0,79.74,0.0,10.77,10.77,0.07,0.08,0.15
2025-08-12 12:42:17,8.8,43.0,33.0,79.74,0.0,0.17,0.17,0.05,0.05,0.1
2025-08-12 12:42:18,8.6,43.0,0.0,79.74,0.0,1.25,1.25,0.04,0.05,0.1
2025-08-12 12:42:19,8.8,43.0,0.0,79.74,0.0,0.02,0.02,0.15,0.16,0.3
2025-08-12 12:42:20,8.5,43.0,4.0,79.74,0.0,0.04,0.04,0.04,0.05,0.1
2025-08-12 12:42:21,8.4,43.1,0.0,79.74,0.0,0.09,0.09,0.07,0.08,0.15
2025-08-12 12:42:22,8.3,43.1,0.0,79.74,0.0,15.16,15.16,0.08,0.08,0.16
2025-08-12 12:42:23,7.8,43.0,6.0,79.74,0.0,0.56,0.56,0.05,0.06,0.11
2025-08-12 12:42:24,8.8,43.0,6.0,79.74,0.0,0.16,0.16,0.14,0.15,0.29
2025-08-12 12:42:25,8.2,43.1,6.0,79.74,0.0,0.62,0.62,0.04,0.05,0.09
2025-08-12 12:42:26,7.9,43.0,6.0,79.74,0.0,0.48,0.48,0.13,0.12,0.25
2025-08-12 12:42:27,7.5,43.1,3.0,79.74,0.0,14.25,14.25,0.04,0.05,0.09
2025-08-12 12:42:28,7.4,43.0,0.0,79.74,0.0,0.32,0.32,0.05,0.05,0.1
2025-08-12 12:42:29,8.3,43.0,3.0,79.74,0.0,0.04,0.04,0.15,0.16,0.31
2025-08-12 12:42:30,7.5,43.1,0.0,79.74,0.0,0.14,0.14,0.04,0.05,0.1
2025-08-12 12:42:31,8.4,43.0,7.0,79.74,0.0,1.39,1.39,0.07,0.08,0.15
2025-08-12 12:42:32,8.3,43.0,0.0,79.74,0.0,0.17,0.17,0.21,0.13,0.34
2025-08-12 12:42:33,8.2,43.0,0.0,79.74,0.0,12.11,12.11,0.07,0.08,0.15
2025-08-12 12:42:34,9.1,43.0,0.0,79.74,0.0,0.12,0.12,0.15,0.18,0.34
2025-08-12 12:42:35,10.6,43.1,0.0,79.74,0.0,1.07,1.07,0.06,0.07,0.13
2025-08-12 12:42:36,9.3,43.1,9.0,82.56,0.0,0.39,0.39,0.08,0.1,0.18
2025-08-12 12:42:37,9.2,43.0,100.0,83.81,0.0,0.43,0.43,0.06,0.07,0.13
2025-08-12 12:42:38,9.7,43.0,1.0,83.81,0.0,11.5,11.5,0.05,0.06,0.11
2025-08-12 12:42:39,9.2,43.1,0.0,83.81,0.0,0.65,0.65,0.15,0.16,0.31
2025-08-12 12:42:40,8.4,43.1,0.0,83.81,0.0,0.54,0.54,0.05,0.06,0.11
2025-08-12 12:42:41,7.8,43.1,0.0,83.81,0.0,0.74,0.74,0.08,0.09,0.18
2025-08-12 12:42:42,7.9,43.1,0.0,83.81,0.0,0.06,0.06,0.08,0.09,0.17
2025-08-12 12:42:43,7.9,43.1,0.0,83.81,0.0,12.13,12.13,0.05,0.06,0.12
2025-08-12 12:42:44,8.2,43.1,0.0,83.81,0.0,0.06,0.06,0.15,0.16,0.31
2025-08-12 12:42:45,8.1,43.1,0.0,83.81,0.0,0.05,0.05,0.05,0.06,0.11
2025-08-12 12:42:46,7.7,43.1,0.0,83.81,0.0,1.07,1.07,0.08,0.09,0.17
2025-08-12 12:42:47,8.1,43.1,0.0,83.81,0.0,0.59,0.59,0.11,0.1,0.2
2025-08-12 12:42:48,8.3,43.1,0.0,83.81,0.0,12.06,12.06,0.05,0.06,0.12
2025-08-12 12:42:49,8.0,43.1,0.0,83.81,0.0,0.31,0.31,0.15,0.16,0.31
2025-08-12 12:42:50,8.2,43.1,0.0,83.81,0.0,0.05,0.05,0.05,0.06,0.11
2025-08-12 12:42:51,8.8,43.1,0.0,83.81,0.0,0.88,0.88,0.08,0.09,0.17
2025-08-12 12:42:52,8.2,43.1,0.0,83.81,0.0,0.05,0.05,0.07,0.08,0.15
2025-08-12 12:42:53,8.2,43.1,0.0,83.81,0.0,10.75,10.75,0.05,0.06,0.11
2025-08-12 12:42:54,9.0,43.1,0.0,83.81,0.0,0.3,0.3,0.15,0.16,0.31
2025-08-12 12:42:55,8.2,43.1,0.0,83.82,0.0,0.14,0.14,0.06,0.07,0.13
2025-08-12 12:42:56,7.9,43.1,0.0,83.82,0.0,1.3,1.3,0.08,0.09,0.18
2025-08-12 12:42:57,7.9,43.1,0.0,83.82,0.0,0.44,0.44,0.05,0.06,0.12
2025-08-12 12:42:58,7.9,43.1,0.0,83.82,0.0,0.51,0.51,0.05,0.06,0.11
2025-08-12 12:42:59,8.2,43.1,0.0,83.82,0.0,12.85,12.85,0.15,0.16,0.31
2025-08-12 12:43:00,8.2,43.2,97.0,84.87,0.0,0.03,0.03,0.05,0.06,0.1
2025-08-12 12:43:01,8.3,43.2,98.0,84.87,0.0,0.95,0.95,0.08,0.09,0.17
2025-08-12 12:43:02,9.2,43.2,98.0,84.87,0.0,0.61,0.61,0.14,0.1,0.24
2025-08-12 12:43:03,8.2,43.2,98.0,84.87,0.0,0.39,0.39,0.11,0.11,0.22
2025-08-12 12:43:04,8.5,43.2,98.0,84.87,0.0,13.62,13.62,0.16,0.17,0.32
2025-08-12 12:43:05,9.4,43.2,98.0,84.87,0.0,0.45,0.45,0.05,0.06,0.12
2025-08-12 12:43:06,8.1,43.2,97.0,84.87,0.0,0.42,0.42,0.08,0.09,0.17
2025-08-12 12:43:07,8.1,43.2,98.0,84.87,0.0,0.02,0.02,0.07,0.08,0.15
2025-08-12 12:43:08,7.8,43.2,98.0,84.87,0.0,0.69,0.69,0.06,0.07,0.13
2025-08-12 12:43:09,8.3,43.2,0.0,90.68,0.0,10.02,10.02,0.23,0.19,0.42
2025-08-12 12:43:10,8.0,43.2,45.0,83.84,0.0,0.33,0.33,0.05,0.06,0.12
2025-08-12 12:43:11,7.9,43.2,81.0,84.08,0.0,0.07,0.07,0.09,0.11,0.2
2025-08-12 12:43:12,7.8,43.2,81.0,84.05,0.0,0.14,0.14,0.07,0.08,0.15
2025-08-12 12:43:13,7.9,43.2,73.0,84.26,0.0,1.02,1.02,0.05,0.06,0.11
2025-08-12 12:43:14,8.2,43.2,80.0,84.36,0.0,13.51,13.51,0.15,0.16,0.31
2025-08-12 12:43:15,7.9,43.2,59.0,84.4,0.0,0.33,0.33,0.14,0.11,0.25
