timestamp,cpu_percent,ram_percent,gpu_avg_util_percent,gpu_avg_mem_percent,disk_read_MBps,disk_write_MBps,disk_total_MBps,net_sent_MBps,net_recv_MBps,net_total_MBps
2025-08-13 17:27:42,7.1,54.3,0.0,0.85,0.0,0.12,0.12,34.53,42.25,78.54
2025-08-13 17:27:43,7.7,54.9,0.0,0.85,0.0,0.12,0.12,45.29,45.25,90.54
2025-08-13 17:27:44,7.3,55.0,0.0,0.85,0.0,11.22,11.22,57.24,57.21,114.46
2025-08-13 17:27:45,6.5,55.0,0.0,0.85,0.0,0.8,0.8,0.03,0.03,0.06
2025-08-13 17:27:46,7.7,55.0,0.0,0.85,0.0,0.38,0.38,0.02,0.02,0.05
2025-08-13 17:27:47,6.6,55.0,2.0,77.65,0.0,0.57,0.57,0.01,0.01,0.03
2025-08-13 17:27:48,7.3,55.0,13.0,77.65,0.0,0.46,0.46,0.11,0.09,0.2
2025-08-13 17:27:49,7.3,55.0,13.0,77.65,0.0,0.06,0.06,0.05,0.02,0.07
2025-08-13 17:27:50,7.8,55.0,13.0,77.65,0.0,7.63,7.63,0.05,0.03,0.08
2025-08-13 17:27:51,8.3,55.0,13.0,77.65,0.0,0.98,0.98,0.06,0.05,0.11
2025-08-13 17:27:52,7.2,55.0,7.0,77.65,0.0,0.11,0.11,0.03,0.03,0.06
2025-08-13 17:27:53,7.7,55.0,13.0,77.65,0.02,0.82,0.84,0.13,0.09,0.22
2025-08-13 17:27:54,7.0,55.0,13.0,77.65,0.0,0.33,0.33,0.08,0.03,0.11
2025-08-13 17:27:56,6.8,55.0,13.0,77.65,0.0,10.21,10.21,0.29,0.32,0.61
2025-08-13 17:27:57,6.3,55.0,13.0,77.65,0.14,0.32,0.46,0.04,0.01,0.05
2025-08-13 17:27:58,6.5,55.0,13.0,77.65,0.0,0.36,0.36,0.15,0.22,0.37
2025-08-13 17:27:59,6.2,55.0,13.0,77.65,0.01,0.11,0.12,0.02,0.02,0.04
2025-08-13 17:28:00,7.0,55.0,13.0,77.65,0.0,8.37,8.37,0.14,0.11,0.26
2025-08-13 17:28:01,6.6,55.0,11.0,77.65,0.01,0.04,0.05,0.06,0.02,0.08
2025-08-13 17:28:02,6.8,55.0,13.0,77.65,0.01,0.99,1.0,0.02,0.02,0.04
2025-08-13 17:28:03,6.4,55.0,13.0,77.65,0.01,0.58,0.6,0.02,0.02,0.04
2025-08-13 17:28:04,5.9,55.0,13.0,77.65,0.0,0.08,0.08,0.03,0.03,0.06
2025-08-13 17:28:05,6.1,55.0,13.0,77.65,0.0,8.18,8.18,0.02,0.02,0.04
2025-08-13 17:28:06,8.7,55.0,7.0,77.65,0.01,0.03,0.04,0.13,0.1,0.23
2025-08-13 17:28:07,6.7,55.0,13.0,77.65,0.01,0.13,0.13,0.05,0.02,0.07
2025-08-13 17:28:08,5.8,55.0,12.0,77.65,0.0,0.74,0.74,0.03,0.03,0.06
2025-08-13 17:28:09,6.3,55.0,13.0,77.65,0.02,0.86,0.88,0.02,0.02,0.03
2025-08-13 17:28:10,7.1,55.0,9.0,77.65,0.0,11.27,11.27,0.03,0.03,0.06
2025-08-13 17:28:11,6.6,55.0,30.0,78.22,0.0,0.66,0.66,0.13,0.08,0.21
2025-08-13 17:28:12,6.1,55.0,97.0,78.22,0.0,0.79,0.79,0.04,0.02,0.06
2025-08-13 17:28:13,6.2,55.0,96.0,78.22,0.0,0.05,0.05,0.01,0.01,0.03
2025-08-13 17:28:15,5.7,55.0,97.0,78.22,0.0,0.6,0.6,0.03,0.03,0.07
2025-08-13 17:28:16,5.9,55.0,97.0,78.22,0.0,8.13,8.13,0.01,0.01,0.03
2025-08-13 17:28:17,6.8,55.0,96.0,78.22,0.0,0.09,0.09,0.03,0.03,0.05
2025-08-13 17:28:18,6.3,55.0,96.0,78.22,0.0,1.18,1.18,0.14,0.08,0.22
2025-08-13 17:28:19,6.3,55.0,97.0,78.22,0.0,126.85,126.85,0.03,0.01,0.05
2025-08-13 17:28:20,8.0,55.0,98.0,78.22,0.0,0.04,0.04,0.02,0.02,0.04
2025-08-13 17:28:21,7.6,55.0,98.0,78.22,0.13,11.7,11.83,0.02,0.02,0.03
2025-08-13 17:28:22,7.9,55.0,98.0,78.22,0.0,0.97,0.97,0.01,0.01,0.03
2025-08-13 17:28:23,8.9,55.0,97.0,78.22,0.0,0.98,0.98,0.02,0.02,0.04
2025-08-13 17:28:24,8.0,55.0,98.0,78.22,0.0,20.6,20.6,0.03,0.03,0.05
2025-08-13 17:28:25,7.4,55.0,98.0,78.22,0.0,9.35,9.35,0.02,0.02,0.04
2025-08-13 17:28:26,7.0,55.0,98.0,78.22,0.0,9.6,9.6,0.01,0.01,0.03
2025-08-13 17:28:27,6.7,55.0,98.0,78.22,0.0,0.04,0.04,0.01,0.01,0.02
2025-08-13 17:28:28,6.6,55.0,97.0,78.22,0.0,1.55,1.55,0.03,0.02,0.05
2025-08-13 17:28:29,7.0,55.0,98.0,78.22,0.0,0.49,0.49,0.01,0.01,0.03
2025-08-13 17:28:30,7.2,55.0,98.0,78.22,0.0,0.23,0.23,0.02,0.02,0.03
2025-08-13 17:28:31,6.7,55.0,97.0,78.22,0.0,9.09,9.09,0.01,0.01,0.03
2025-08-13 17:28:32,7.5,55.0,97.0,78.22,0.0,0.04,0.04,0.02,0.02,0.03
2025-08-13 17:28:34,6.9,55.0,97.0,78.22,0.0,0.5,0.5,0.01,0.01,0.02
2025-08-13 17:28:35,7.1,55.0,98.0,78.22,0.0,201.84,201.84,0.03,0.03,0.06
2025-08-13 17:28:36,7.6,55.0,97.0,78.22,0.0,0.03,0.03,0.01,0.01,0.02
2025-08-13 17:28:37,7.8,55.0,97.0,78.22,0.0,10.31,10.31,0.02,0.01,0.03
2025-08-13 17:28:38,6.8,55.0,98.0,78.24,0.0,0.02,0.02,0.02,0.02,0.04
2025-08-13 17:28:39,6.9,55.0,97.0,78.27,0.01,0.4,0.42,0.01,0.01,0.03
2025-08-13 17:28:40,7.3,55.0,97.0,78.27,0.01,2420.91,2420.91,0.01,0.01,0.03
2025-08-13 17:28:41,7.4,55.0,97.0,78.27,0.0,3379.01,3379.01,0.02,0.02,0.03
2025-08-13 17:28:42,7.8,55.0,98.0,78.27,0.02,626.21,626.23,0.01,0.01,0.03
2025-08-13 17:28:43,7.2,55.0,98.0,78.29,0.0,0.87,0.87,0.02,0.02,0.03
2025-08-13 17:28:44,7.2,55.0,98.0,78.29,0.02,0.05,0.07,0.04,0.04,0.08
2025-08-13 17:28:45,6.8,55.0,98.0,78.32,0.0,0.95,0.95,0.01,0.01,0.02
2025-08-13 17:28:46,6.3,55.0,44.0,1.51,0.02,0.05,0.07,0.02,0.02,0.03
2025-08-13 17:28:47,6.5,55.0,100.0,77.77,0.0,6.55,6.55,0.01,0.02,0.03
2025-08-13 17:28:49,6.8,55.0,13.0,77.77,0.02,1.27,1.29,0.01,0.01,0.03
2025-08-13 17:28:50,8.1,55.0,13.0,77.77,0.0,0.17,0.17,0.02,0.02,0.05
2025-08-13 17:28:51,7.8,55.0,13.0,77.77,0.0,0.04,0.04,0.01,0.01,0.03
2025-08-13 17:28:52,8.3,55.0,13.0,77.77,0.0,10.91,10.91,0.01,0.01,0.03
2025-08-13 17:28:53,8.2,55.0,7.0,77.77,0.0,0.41,0.41,0.02,0.02,0.04
2025-08-13 17:28:54,8.0,55.0,13.0,77.77,0.0,0.54,0.54,0.03,0.03,0.06
2025-08-13 17:28:55,7.7,55.0,13.0,77.77,0.0,2.86,2.86,0.01,0.01,0.03
2025-08-13 17:28:57,7.5,55.0,13.0,77.77,0.0,0.07,0.07,0.02,0.02,0.03
2025-08-13 17:28:58,8.2,55.0,13.0,77.77,0.0,9.42,9.42,0.02,0.02,0.04
2025-08-13 17:28:59,8.0,55.0,13.0,77.77,0.0,0.85,0.85,0.01,0.01,0.03
2025-08-13 17:29:00,7.5,55.0,13.0,77.77,0.0,0.53,0.53,0.01,0.01,0.03
2025-08-13 17:29:01,8.0,55.0,13.0,77.77,0.0,0.05,0.05,0.02,0.02,0.03
2025-08-13 17:29:02,8.0,55.0,6.0,77.77,0.0,0.42,0.42,0.01,0.01,0.03
2025-08-13 17:29:03,7.9,55.0,13.0,77.77,0.0,10.12,10.12,0.02,0.02,0.04
2025-08-13 17:29:04,7.6,55.0,13.0,77.77,0.0,0.46,0.46,0.01,0.01,0.03
2025-08-13 17:29:05,10.0,55.0,13.0,77.77,0.0,0.08,0.08,0.03,0.03,0.06
2025-08-13 17:29:06,8.8,55.0,13.0,77.77,0.0,1.29,1.29,0.02,0.02,0.03
2025-08-13 17:29:07,8.9,55.0,11.0,77.77,0.0,0.86,0.86,0.02,0.01,0.03
2025-08-13 17:29:08,9.1,55.0,13.0,77.77,0.0,8.85,8.85,0.02,0.02,0.04
2025-08-13 17:29:09,8.4,55.0,12.0,77.77,0.0,0.15,0.15,0.01,0.01,0.03
2025-08-13 17:29:10,7.7,55.0,12.0,77.77,0.0,0.33,0.33,0.01,0.01,0.03
2025-08-13 17:29:11,7.6,55.0,6.0,78.08,0.0,0.03,0.03,0.02,0.02,0.03
2025-08-13 17:29:12,9.3,55.0,100.0,79.59,0.0,970.29,970.29,0.01,0.01,0.03
2025-08-13 17:29:13,7.9,55.0,96.0,79.59,0.0,3337.9,3337.9,0.02,0.02,0.04
2025-08-13 17:29:14,8.0,55.0,95.0,79.59,0.0,3070.91,3070.91,0.04,0.04,0.08
2025-08-13 17:29:15,7.4,55.0,96.0,79.59,0.0,0.03,0.03,0.01,0.01,0.02
2025-08-13 17:29:16,7.3,55.0,96.0,79.59,0.0,0.73,0.73,0.01,0.01,0.02
2025-08-13 17:29:18,7.5,55.0,95.0,79.59,0.0,0.04,0.04,0.02,0.02,0.03
2025-08-13 17:29:19,7.3,55.0,95.0,79.59,0.0,8.57,8.57,0.01,0.01,0.02
2025-08-13 17:29:20,7.3,55.0,96.0,79.59,0.0,0.36,0.36,0.01,0.01,0.02
2025-08-13 17:29:21,8.6,55.0,95.0,79.59,0.0,0.75,0.75,0.02,0.02,0.05
2025-08-13 17:29:22,7.9,55.0,96.0,79.59,0.0,0.66,0.66,0.01,0.01,0.02
2025-08-13 17:29:23,7.5,55.0,96.0,79.59,0.0,0.05,0.05,0.02,0.02,0.04
2025-08-13 17:29:24,8.4,55.0,94.0,79.59,0.0,11.26,11.26,0.03,0.03,0.06
2025-08-13 17:29:25,7.8,55.0,96.0,79.59,0.0,0.36,0.36,0.01,0.01,0.02
2025-08-13 17:29:26,7.2,55.0,96.0,79.59,0.0,2.59,2.59,0.01,0.01,0.03
2025-08-13 17:29:28,7.2,55.0,100.0,77.77,0.0,0.36,0.36,0.02,0.02,0.04
2025-08-13 17:29:30,6.8,55.0,13.0,77.77,0.0,10.16,10.16,0.01,0.01,0.03
2025-08-13 17:29:31,7.7,55.0,7.0,77.77,0.0,0.75,0.75,0.02,0.02,0.03
2025-08-13 17:29:32,8.2,55.0,13.0,77.77,0.0,0.41,0.41,0.01,0.01,0.03
2025-08-13 17:29:33,7.6,55.0,13.0,77.77,0.0,0.05,0.05,0.02,0.02,0.04
2025-08-13 17:29:34,7.5,55.0,13.0,77.77,0.0,0.02,0.02,0.01,0.01,0.02
2025-08-13 17:29:35,7.7,55.0,13.0,77.77,0.0,7.91,7.91,0.03,0.03,0.07
2025-08-13 17:29:36,8.4,55.0,13.0,77.77,0.0,0.51,0.51,0.01,0.01,0.03
2025-08-13 17:29:37,7.8,55.0,13.0,77.77,0.0,0.37,0.37,0.02,0.02,0.03
2025-08-13 17:29:38,7.8,55.0,13.0,77.77,0.0,0.02,0.02,0.02,0.02,0.04
2025-08-13 17:29:39,7.6,55.0,13.0,77.77,0.0,1.03,1.03,0.01,0.01,0.02
2025-08-13 17:29:40,7.5,55.0,13.0,77.77,0.0,235.41,235.41,0.01,0.01,0.03
2025-08-13 17:29:41,9.8,55.0,13.0,77.77,0.0,3335.01,3335.01,0.02,0.02,0.04
2025-08-13 17:29:42,8.3,55.0,12.0,77.77,0.0,3326.35,3326.35,0.02,0.02,0.04
2025-08-13 17:29:43,8.4,55.0,13.0,77.77,0.0,3305.39,3305.39,0.02,0.03,0.05
2025-08-13 17:29:44,7.6,55.0,11.0,77.77,0.0,251.71,251.71,0.01,0.01,0.02
2025-08-13 17:29:45,7.5,55.0,13.0,77.77,0.0,8.23,8.23,0.03,0.03,0.06
2025-08-13 17:29:46,7.4,55.0,13.0,77.77,0.0,0.36,0.36,0.01,0.01,0.03
2025-08-13 17:29:47,7.7,55.0,10.0,77.77,0.0,0.23,0.23,0.02,0.03,0.05
2025-08-13 17:29:49,7.3,55.0,12.0,77.77,0.0,0.29,0.29,0.03,0.04,0.07
2025-08-13 17:29:50,9.8,55.0,10.0,77.77,0.0,0.04,0.04,0.02,0.02,0.04
2025-08-13 17:29:51,8.8,55.0,13.0,77.77,0.0,7.21,7.21,0.02,0.02,0.04
2025-08-13 17:29:52,8.9,55.0,13.0,77.77,0.0,0.37,0.37,0.01,0.01,0.03
2025-08-13 17:29:53,10.0,55.0,100.0,79.59,0.0,0.99,0.99,0.02,0.02,0.04
2025-08-13 17:29:54,8.6,55.0,96.0,79.59,0.0,0.29,0.29,0.01,0.01,0.02
